('pip:jinja2', '')
('npm:@babel/plugin-syntax-optional-chaining', '7.8.3')
('npm:@material-ui/lab', '4.0.0-alpha.56')
('npm:get-value', '2.0.6')
('npm:atob', '2.1.2')
('npm:mdn-data', '2.0.4')
('npm:posix-character-classes', '0.1.1')
('npm:bindings', '1.5.0')
('npm:asn1', '0.2.4')
('npm:html-escaper', '2.0.0')
('npm:lodash._reinterpolate', '3.0.0')
('npm:@types/babel__core', '7.1.6')
('npm:parse-asn1', '5.1.5')
('npm:glob-to-regexp', '0.3.0')
('npm:postcss-discard-empty', '4.0.1')
('npm:internal-slot', '1.0.2')
('pip:python-multipart', '')
('npm:crypto-browserify', '3.12.0')
('npm:cacache', '13.0.1')
('npm:functional-red-black-tree', '1.0.1')
('npm:is-date-object', '1.0.2')
('npm:postcss-selector-not', '4.0.0')
('npm:events', '3.1.0')
('npm:css-loader', '3.4.2')
('npm:balanced-match', '1.0.0')
('npm:hash-base', '3.0.4')
('npm:ieee754', '1.1.13')
('npm:jest-config', '24.9.0')
('npm:html-comment-regex', '1.1.2')
('npm:jest-diff', '24.9.0')
('npm:regexpp', '3.0.0')
('npm:redux-thunk', '2.3.0')
('npm:concat-stream', '2.0.0')
('npm:@sheerun/mutationobserver-shim', '0.3.3')
('npm:nan', '2.14.0')
('npm:@babel/runtime', '7.9.2')
('npm:browserify-des', '1.0.2')
('npm:mem', '4.3.0')
('npm:@babel/helper-remap-async-to-generator', '7.8.3')
('npm:react-masonry-component', '6.2.1')
('npm:spdx-license-ids', '3.0.5')
('npm:timsort', '0.3.0')
('npm:to-regex', '3.0.2')
('npm:@cnakazawa/watch', '1.0.4')
('npm:@testing-library/jest-dom', '4.2.4')
('npm:define-property', '2.0.2')
('npm:workbox-expiration', '4.3.1')
('npm:history', '4.10.1')
('npm:lcid', '2.0.0')
('npm:espree', '6.2.1')
('npm:strip-comments', '1.0.2')
('npm:postcss-reduce-initial', '4.0.3')
('npm:jest-worker', '25.1.0')
('npm:hsl-regex', '1.0.0')
('npm:postcss-image-set-function', '3.0.1')
('npm:postcss-lab-function', '2.0.1')
('npm:unicode-match-property-ecmascript', '1.0.4')
('npm:resolve-protobuf-schema', '2.1.0')
('npm:iconv-lite', '0.4.24')
('npm:@babel/plugin-transform-computed-properties', '7.8.3')
('npm:strip-json-comments', '3.0.1')
('npm:repeat-string', '1.6.1')
('npm:@material-ui/utils', '4.9.12')
('npm:last-call-webpack-plugin', '3.0.0')
('npm:aria-query', '4.0.2')
('npm:redux-logger', '3.0.6')
('npm:p-retry', '3.0.1')
('npm:is-arrayish', '0.3.2')
('npm:jest-serializer', '24.9.0')
('npm:multicast-dns-service-types', '1.1.0')
('npm:@jest/reporters', '24.9.0')
('npm:element-resize-detector', '1.2.1')
('npm:mapbox-gl', '1.10.1')
('npm:once', '1.4.0')
('npm:object.values', '1.1.1')
('npm:kdbush', '3.0.0')
('npm:natural-compare', '1.4.0')
('npm:workbox-window', '4.3.1')
('npm:eslint-plugin-jsx-a11y', '6.2.3')
('npm:object.getownpropertydescriptors', '2.1.0')
('npm:xml-name-validator', '3.0.0')
('npm:snapdragon-util', '3.0.1')
('npm:@babel/preset-env', '7.9.0')
('npm:desandro-matches-selector', '2.0.2')
('npm:@webassemblyjs/helper-api-error', '1.8.5')
('npm:@webassemblyjs/helper-module-context', '1.8.5')
('npm:@babel/helper-split-export-declaration', '7.8.3')
('npm:@babel/helper-regex', '7.8.3')
('npm:eslint-module-utils', '2.5.2')
('npm:accepts', '1.3.7')
('npm:@types/babel__template', '7.0.2')
('npm:esutils', '2.0.3')
('npm:path-dirname', '1.0.2')
('npm:cssnano', '4.1.10')
('npm:is-absolute-url', '3.0.3')
('npm:lazy-cache', '1.0.4')
('npm:makeerror', '1.0.11')
('npm:postcss-font-variant', '4.0.0')
('npm:array-flatten', '2.1.2')
('npm:jss-plugin-default-unit', '10.1.1')
('npm:fb-watchman', '2.0.1')
('npm:resolve-from', '4.0.0')
('npm:function-bind', '1.1.1')
('npm:imurmurhash', '0.1.4')
('npm:cssom', '0.3.8')
('npm:batch-processor', '1.0.0')
('npm:jest-message-util', '24.9.0')
('npm:path-browserify', '0.0.1')
('npm:merge-deep', '3.0.2')
('npm:proxy-addr', '2.0.6')
('npm:path-exists', '4.0.0')
('npm:postcss-normalize-timing-functions', '4.0.2')
('npm:@babel/plugin-transform-regenerator', '7.8.7')
('npm:create-react-class', '15.7.0')
('npm:@typescript-eslint/experimental-utils', '2.24.0')
('npm:exec-sh', '0.3.4')
('npm:loader-fs-cache', '1.0.2')
('npm:optionator', '0.8.3')
('npm:toidentifier', '1.0.0')
('npm:es5-ext', '0.10.53')
('npm:object-copy', '0.1.0')
('npm:@webassemblyjs/floating-point-hex-parser', '1.8.5')
('pip:sqlalchemy', '')
('npm:cross-env', '6.0.3')
('npm:esrecurse', '4.2.1')
('npm:postcss-focus-within', '3.0.0')
('npm:dom-serializer', '0.2.2')
('npm:is-path-cwd', '2.2.0')
('npm:@babel/plugin-proposal-optional-catch-binding', '7.8.3')
('npm:postcss-safe-parser', '4.0.1')
('npm:clsx', '1.1.0')
('npm:exit', '0.1.2')
('npm:es6-iterator', '2.0.3')
('npm:@babel/plugin-transform-modules-systemjs', '7.9.0')
('npm:md5.js', '1.3.5')
('npm:@babel/helper-explode-assignable-expression', '7.8.3')
('npm:esquery', '1.1.0')
('npm:@typescript-eslint/eslint-plugin', '2.24.0')
('npm:http-deceiver', '1.2.7')
('npm:https-browserify', '1.0.0')
('npm:@babel/preset-typescript', '7.9.0')
('npm:postcss-modules-extract-imports', '2.0.0')
('npm:fresh', '0.5.2')
('npm:sane', '4.1.0')
('npm:ip', '1.1.5')
('npm:type-fest', '0.8.1')
('npm:minimist', '1.2.5')
('npm:@babel/plugin-proposal-dynamic-import', '7.8.3')
('npm:process', '0.11.10')
('npm:value-equal', '1.0.1')
('npm:jsesc', '0.5.0')
('npm:flatted', '2.0.1')
('npm:is-binary-path', '2.1.0')
('npm:assign-symbols', '1.0.0')
('npm:@svgr/hast-util-to-babel-ast', '4.3.2')
('npm:json-schema', '0.2.3')
('npm:workbox-range-requests', '4.3.1')
('npm:object-inspect', '1.7.0')
('npm:@hapi/joi', '15.1.1')
('npm:webpack-sources', '1.4.3')
('npm:asn1.js', '4.10.1')
('npm:detect-node', '2.0.4')
('npm:@jest/test-sequencer', '24.9.0')
('npm:neo-async', '2.6.1')
('npm:table', '5.4.6')
('npm:read-pkg-up', '4.0.0')
('npm:resolve-pathname', '3.0.0')
('npm:source-list-map', '2.0.1')
('npm:@jest/fake-timers', '24.9.0')
('npm:cache-base', '1.0.1')
('npm:sisteransi', '1.0.5')
('npm:has-ansi', '2.0.0')
('npm:import-from', '2.1.0')
('npm:parse5', '5.1.0')
('npm:p-is-promise', '2.1.0')
('npm:webpack', '4.42.0')
('npm:combined-stream', '1.0.8')
('npm:postcss-values-parser', '2.0.1')
('npm:@types/parse-json', '4.0.0')
('npm:postcss-merge-rules', '4.0.3')
('npm:util', '0.11.1')
('npm:yaml', '1.8.2')
('npm:@babel/plugin-syntax-numeric-separator', '7.8.3')
('npm:expect', '24.9.0')
('npm:js-tokens', '3.0.2')
('npm:callsites', '3.1.0')
('npm:postcss-flexbugs-fixes', '4.1.0')
('npm:@babel/plugin-transform-classes', '7.9.0')
('npm:jsbn', '0.1.1')
('npm:selfsigned', '1.10.7')
('npm:array-includes', '3.1.1')
('pip:pydantic', '')
('npm:@svgr/webpack', '4.3.3')
('npm:psl', '1.7.0')
('npm:error-ex', '1.3.2')
('npm:create-hash', '1.2.0')
('npm:postcss', '7.0.27')
('npm:@babel/plugin-proposal-unicode-property-regex', '7.8.8')
('npm:@types/istanbul-lib-report', '3.0.0')
('npm:camelcase', '5.3.1')
('npm:har-validator', '5.1.3')
('npm:on-headers', '1.0.2')
('npm:shallow-clone', '3.0.1')
('npm:import-cwd', '2.1.0')
('npm:@jest/transform', '24.9.0')
('npm:@xtuc/long', '4.2.2')
('npm:identity-obj-proxy', '3.0.0')
('npm:unicode-match-property-value-ecmascript', '1.2.0')
('npm:jest-environment-jsdom-fourteen', '1.0.1')
('npm:caller-callsite', '2.0.0')
('npm:dot-prop', '5.2.0')
('npm:enhanced-resolve', '4.1.1')
('npm:eventsource', '1.0.7')
('npm:mkdirp', '0.5.3')
('npm:cssnano-util-raw-cache', '4.0.1')
('npm:@svgr/babel-plugin-add-jsx-attribute', '4.2.0')
('npm:pify', '4.0.1')
('npm:es-abstract', '1.17.4')
('npm:watchpack', '1.6.0')
('npm:babel-preset-jest', '24.9.0')
('npm:mamacro', '0.0.3')
('npm:contains-path', '0.1.0')
('npm:get-caller-file', '2.0.5')
('npm:stealthy-require', '1.1.1')
('npm:@types/styled-jsx', '2.2.8')
('npm:object-hash', '2.0.3')
('npm:jss-plugin-global', '10.1.1')
('npm:entities', '2.0.0')
('npm:static-extend', '0.1.2')
('npm:ignore', '4.0.6')
('npm:miller-rabin', '4.0.1')
('npm:original', '1.0.2')
('npm:eslint-visitor-keys', '1.1.0')
('npm:caniuse-lite', '1.0.30001035')
('npm:cosmiconfig', '6.0.0')
('npm:raw-body', '2.4.0')
('npm:postcss-nesting', '7.0.1')
('npm:@babel/generator', '7.9.0')
('npm:earcut', '2.2.2')
('npm:serialize-javascript', '2.1.2')
('npm:universalify', '0.1.2')
('npm:postcss-merge-longhand', '4.0.11')
('npm:deep-diff', '0.3.8')
('npm:websocket-extensions', '0.1.4')
('npm:is-in-browser', '1.1.3')
('npm:internal-ip', '4.3.0')
('npm:ssri', '7.1.0')
('npm:console-browserify', '1.2.0')
('npm:istanbul-reports', '2.2.7')
('npm:@babel/types', '7.9.0')
('npm:commondir', '1.0.1')
('npm:core-js-compat', '3.6.4')
('npm:css-select-base-adapter', '0.1.1')
('npm:json3', '3.3.3')
('npm:remove-trailing-separator', '1.1.0')
('npm:@types/json-schema', '7.0.4')
('npm:react-transition-group', '4.4.1')
('npm:deep-equal', '1.1.1')
('npm:escodegen', '1.14.1')
('npm:fs-minipass', '2.1.0')
('npm:is-path-in-cwd', '2.1.0')
('npm:negotiator', '0.6.2')
('npm:bn.js', '4.11.9')
('npm:@types/yargs-parser', '15.0.0')
('npm:minipass-flush', '1.0.5')
('npm:is-path-inside', '2.1.0')
('npm:jsonify', '0.0.0')
('npm:async-each', '1.0.3')
('npm:clone-deep', '4.0.1')
('npm:simple-swizzle', '0.2.2')
('npm:shebang-regex', '3.0.0')
('npm:mimic-fn', '2.1.0')
('npm:iferr', '0.1.5')
('npm:wait-for-expect', '3.0.2')
('npm:pn', '1.1.0')
('npm:jest-resolve', '24.9.0')
('npm:send', '0.17.1')
('npm:@material-ui/pickers', '3.2.10')
('npm:p-locate', '4.1.0')
('npm:normalize-package-data', '2.5.0')
('npm:acorn-walk', '6.2.0')
('npm:word-wrap', '1.2.3')
('npm:map-cache', '0.2.2')
('npm:global-modules', '2.0.0')
('npm:postcss-normalize-repeat-style', '4.0.2')
('npm:postcss-minify-font-values', '4.0.2')
('npm:jest-get-type', '24.9.0')
('npm:kleur', '3.0.3')
('npm:@types/stack-utils', '1.0.1')
('npm:strip-indent', '3.0.0')
('npm:create-ecdh', '4.0.3')
('npm:is-stream', '1.1.0')
('npm:deep-is', '0.1.3')
('npm:cssstyle', '1.4.0')
('npm:graceful-fs', '4.2.3')
('npm:micromatch', '3.1.10')
('npm:babel-loader', '8.1.0')
('npm:find-cache-dir', '3.3.1')
('npm:schema-utils', '2.6.5')
('npm:obuf', '1.1.2')
('npm:elliptic', '6.5.3')
('npm:postcss-gap-properties', '2.0.0')
('npm:minimalistic-crypto-utils', '1.0.1')
('npm:postcss-color-hex-alpha', '5.0.3')
('npm:merge2', '1.3.0')
('npm:tr46', '1.0.1')
('npm:workbox-google-analytics', '4.3.1')
('npm:@babel/helpers', '7.9.0')
('npm:map-visit', '1.0.0')
('npm:sshpk', '1.16.1')
('npm:regexp.prototype.flags', '1.3.0')
('npm:@babel/plugin-transform-dotall-regex', '7.8.3')
('npm:loglevel', '1.6.7')
('npm:decode-uri-component', '0.2.0')
('npm:async', '2.6.3')
('npm:normalize-url', '3.3.0')
('npm:axobject-query', '2.1.2')
('npm:lodash.uniq', '4.5.0')
('npm:is-wsl', '2.1.1')
('npm:css-color-names', '0.0.4')
('npm:pump', '3.0.0')
('npm:minipass-collect', '1.0.2')
('npm:babel-jest', '24.9.0')
('npm:@babel/plugin-proposal-nullish-coalescing-operator', '7.8.3')
('npm:ext', '1.4.0')
('npm:postcss-attribute-case-insensitive', '4.0.2')
('npm:core-util-is', '1.0.2')
('npm:jsdom', '14.1.0')
('npm:nice-try', '1.0.5')
('npm:@mapbox/tiny-sdf', '1.1.1')
('npm:p-limit', '2.2.2')
('npm:os-locale', '3.1.0')
('npm:vt-pbf', '3.1.1')
('npm:restore-cursor', '3.1.0')
('npm:to-regex-range', '5.0.1')
('npm:geojson-vt', '3.2.1')
('npm:html-entities', '1.2.1')
('npm:to-fast-properties', '2.0.0')
('npm:redent', '3.0.0')
('npm:clean-css', '4.2.3')
('npm:require-directory', '2.1.1')
('npm:@babel/plugin-transform-modules-commonjs', '7.9.0')
('npm:nwsapi', '2.2.0')
('npm:form-data', '2.3.3')
('npm:clean-stack', '2.2.0')
('npm:minipass-pipeline', '1.2.2')
('npm:react-error-overlay', '6.0.7')
('npm:wrap-ansi', '5.1.0')
('npm:lower-case', '2.0.1')
('npm:globals', '12.4.0')
('npm:@babel/plugin-transform-arrow-functions', '7.8.3')
('npm:@babel/helper-annotate-as-pure', '7.8.3')
('npm:@svgr/core', '4.3.3')
('npm:is-symbol', '1.0.3')
('npm:tiny-warning', '1.0.3')
('npm:mixin-deep', '1.3.2')
('npm:saxes', '3.1.11')
('npm:url', '0.11.0')
('npm:css-prefers-color-scheme', '3.1.1')
('npm:randombytes', '2.1.0')
('npm:workbox-sw', '4.3.1')
('npm:@babel/plugin-syntax-typescript', '7.8.3')
('pip:nltk', '')
('npm:escape-html', '1.0.3')
('npm:@babel/plugin-transform-async-to-generator', '7.8.3')
('npm:csso', '4.0.2')
('npm:react-masonry-css', '1.0.14')
('npm:json-schema-traverse', '0.4.1')
('npm:encodeurl', '1.0.2')
('npm:postcss-ordered-values', '4.1.2')
('npm:stream-http', '2.8.3')
('npm:realpath-native', '1.1.0')
('npm:@webassemblyjs/helper-wasm-section', '1.8.5')
('npm:async-limiter', '1.0.1')
('npm:class-utils', '0.3.6')
('npm:thunky', '1.1.0')
('npm:@babel/plugin-proposal-numeric-separator', '7.8.3')
('npm:@hapi/hoek', '8.5.1')
('npm:har-schema', '2.0.0')
('npm:arr-flatten', '1.1.0')
('npm:@mapbox/geojson-types', '1.0.2')
('npm:postcss-normalize-string', '4.0.2')
('npm:jss-plugin-camel-case', '10.1.1')
('npm:rw', '1.3.3')
('npm:make-dir', '3.0.2')
('npm:masonry-layout', '4.2.2')
('npm:utils-merge', '1.0.1')
('npm:damerau-levenshtein', '1.0.6')
('npm:jest-environment-jsdom', '24.9.0')
('npm:lodash', '4.17.20')
('npm:webpack-dev-server', '3.10.3')
('npm:@babel/helper-plugin-utils', '7.8.3')
('npm:jest', '24.9.0')
('npm:@jest/types', '25.3.0')
('npm:loader-runner', '2.4.0')
('npm:@babel/compat-data', '7.9.0')
('npm:ansi-escapes', '4.3.1')
('npm:unset-value', '1.0.0')
('npm:typedarray', '0.0.6')
('npm:buffer-indexof', '1.1.1')
('npm:react-router', '5.2.0')
('npm:@mapbox/mapbox-gl-supported', '1.5.0')
('npm:jest-environment-node', '24.9.0')
('npm:arrify', '1.0.1')
('npm:strip-eof', '1.0.0')
('npm:jest-runtime', '24.9.0')
('npm:buffer-from', '1.1.1')
('npm:dom-helpers', '5.1.4')
('npm:pirates', '4.0.1')
('npm:@babel/plugin-syntax-optional-catch-binding', '7.8.3')
('npm:postcss-selector-parser', '6.0.2')
('npm:no-case', '3.0.3')
('npm:postcss-overflow-shorthand', '2.0.0')
('npm:figgy-pudding', '3.5.1')
('npm:@babel/plugin-syntax-top-level-await', '7.8.3')
('npm:babel-plugin-transform-react-remove-prop-types', '0.4.24')
('npm:pretty-bytes', '5.3.0')
('npm:@babel/helper-simple-access', '7.8.3')
('npm:ajv', '6.12.0')
('npm:@webassemblyjs/wast-parser', '1.8.5')
('npm:prr', '1.0.1')
('npm:public-encrypt', '4.0.3')
('npm:postcss-calc', '7.0.2')
('npm:@webassemblyjs/wast-printer', '1.8.5')
('npm:confusing-browser-globals', '1.0.9')
('npm:@babel/plugin-syntax-async-generators', '7.8.4')
('npm:acorn-globals', '4.3.4')
('npm:cssnano-util-same-parent', '4.0.1')
('npm:rsvp', '4.8.5')
('npm:has-value', '1.0.0')
('npm:timers-browserify', '2.0.11')
('npm:performance-now', '2.1.0')
('npm:capture-exit', '2.0.0')
('npm:react-facebook-login', '4.1.1')
('npm:compose-function', '3.0.3')
('npm:regex-parser', '2.2.10')
('npm:is-windows', '1.0.2')
