('rust:iana-time-zone', '0.1.60')
('rust:itertools', '0.11.0')
('rust:precomputed-hash', '0.1.1')
('rust:itoa', '1.0.11')
('rust:r2d2', '0.8.10')
('rust:openssl', '0.10.64')
('rust:futures-sink', '0.3.30')
('rust:deadpool-sync', '0.1.4')
('rust:windows_i686_gnullvm', '0.52.6')
('rust:quick-xml', '0.36.0')
('rust:chrono', '0.4.38')
('rust:time', '0.3.36')
('rust:tokio-rustls', '0.24.1')
('rust:regex-automata', '0.1.10')
('rust:aws-smithy-runtime', '1.6.2')
('rust:serde_json', '1.0.120')
('rust:h2', '0.4.5')
('rust:termtree', '0.4.1')
('rust:quoted_printable', '0.5.0')
('rust:quinn-udp', '0.5.2')
('rust:git2', '0.19.0')
('rust:windows_x86_64_gnullvm', '0.48.5')
('rust:diesel_derives', '2.2.1')
('rust:base64ct', '1.6.0')
('rust:nom', '7.1.3')
('rust:is_terminal_polyfill', '1.70.0')
('rust:aho-corasick', '1.1.3')
('rust:plotters', '0.3.6')
('rust:sentry-tower', '0.34.0')
('rust:pest_generator', '2.7.11')
('rust:phf_shared', '0.11.2')
('rust:fnv', '1.0.7')
('rust:hyper-tls', '0.6.0')
('rust:pin-utils', '0.1.0')
('rust:http', '0.2.12')
('rust:unicode_categories', '0.1.1')
('rust:similar', '2.5.0')
('actions:actions/upload-artifact', '65462800fd760344b1a7b4382951275a0abb4808')
('rust:predicates', '3.1.0')
('rust:sentry-core', '0.34.0')
('rust:plotters-svg', '0.3.6')
('rust:sharded-slab', '0.1.7')
('rust:headers-core', '0.3.0')
('rust:ppv-lite86', '0.2.17')
('rust:comrak', '0.26.0')
('rust:openssl-sys', '0.9.102')
('rust:portable-atomic', '1.6.0')
('rust:unicode-bidi', '0.3.15')
('rust:thiserror', '1.0.62')
('rust:rustls', '0.23.11')
('rust:ciborium-io', '0.2.2')
('rust:unicase', '2.7.0')
('rust:windows-targets', '0.52.6')
('rust:tower-layer', '0.3.2')
('rust:bytes', '1.6.1')
('rust:aws-smithy-async', '1.2.1')
('rust:errno', '0.3.9')
('rust:base64', '0.13.1')
('rust:hyper-util', '0.1.6')
('rust:zerocopy', '0.7.35')
('rust:toml_datetime', '0.6.6')
('rust:tracing-subscriber', '0.3.18')
('rust:cc', '1.1.4')
('rust:http-body', '0.4.6')
('rust:windows-core', '0.52.0')
('rust:aws-smithy-types', '1.2.0')
('rust:either', '1.13.0')
('com.github.rust-lang/crates.io', '')
('rust:rustls-native-certs', '0.6.3')
('rust:wasm-bindgen-backend', '0.2.92')
('rust:untrusted', '0.9.0')
('rust:tar', '0.4.41')
