('npm:path-key', '3.1.1')
('rubygems:activejob-uniqueness', '0.2.5')
('npm:co', '4.6.0')
('npm:@fortawesome/fontawesome-common-types', '0.2.36')
('npm:@babel/plugin-transform-modules-commonjs', '7.22.5')
('npm:@xmldom/xmldom', '0.8.7')
('rubygems:activejob-traffic_control', '0.1.3')
('npm:css-tree', '2.3.1')
('npm:find-cache-dir', '3.3.2')
('npm:which-typed-array', '1.1.11')
('npm:ajv-keywords', '3.5.2')
('npm:inherits', '2.0.3')
('npm:fast-levenshtein', '2.0.6')
('npm:postcss-merge-rules', '6.0.1')
('npm:dom-converter', '0.2.0')
('rubygems:xml-simple', '1.1.9')
('rubygems:marc', '1.2.0')
('rubygems:fastimage', '2.2.7')
('npm:inflight', '1.0.6')
('rubygems:multi_xml', '0.6.0')
('npm:inherits', '2.0.4')
('npm:@material-ui/utils', '4.11.3')
('npm:domelementtype', '2.2.0')
('npm:is-fullwidth-code-point', '2.0.0')
('npm:@types/prop-types', '15.7.4')
('npm:jss-plugin-props-sort', '10.10.0')
('npm:manifesto.js', '4.2.17')
('rubygems:bigdecimal', '3.1.6')
('npm:@babel/plugin-syntax-json-strings', '7.8.3')
('npm:text-table', '0.2.0')
('npm:react-transition-group', '4.4.2')
('rubygems:noid', '0.9.0')
('npm:@babel/plugin-transform-unicode-sets-regex', '7.22.5')
('npm:finalhandler', '1.2.0')
('npm:sass', '1.65.1')
('npm:prop-types', '15.7.2')
('npm:buffer', '6.0.3')
('npm:@xmldom/xmldom', '0.8.10')
('npm:kind-of', '6.0.3')
('npm:@babel/plugin-syntax-optional-chaining', '7.8.3')
('npm:@types/estree', '1.0.5')
('npm:@babel/plugin-syntax-unicode-sets-regex', '7.18.6')
('rubygems:coffee-script-source', '1.12.2')
('npm:uuid', '8.3.2')
('npm:icss-utils', '5.1.0')
('npm:node-forge', '1.3.1')
('npm:file-entry-cache', '2.0.0')
('npm:eslint-scope', '3.7.1')
('rubygems:declarative', '0.0.20')
('npm:semver', '7.5.4')
('rubygems:mini_mime', '1.1.5')
('npm:duck', '0.1.12')
('rubygems:minitar', '0.9')
('npm:base64-js', '1.5.1')
('npm:functional-red-black-tree', '1.0.1')
('npm:@babel/plugin-transform-computed-properties', '7.22.5')
('npm:postcss-modules-extract-imports', '3.0.0')
('npm:moment', '2.29.4')
('rubygems:rubocop-performance', '1.16.0')
('npm:postcss-reduce-initial', '6.0.0')
('npm:@types/retry', '0.12.0')
('npm:postcss-selector-parser', '6.0.6')
('npm:balanced-match', '1.0.0')
('npm:shebang-command', '1.2.0')
