('npm:es-errors', '1.3.0')
('npm:isarray', '2.0.5')
('npm:pure-rand', '6.0.4')
('npm:scheduler', '0.19.1')
('npm:chalk', '2.4.2')
('npm:jest-resolve', '29.7.0')
('npm:is-regex', '1.1.4')
('npm:railroad-diagrams', '1.0.0')
('npm:whatwg-encoding', '2.0.0')
('npm:@testing-library/react', '12.1.5')
('npm:@babel/plugin-syntax-optional-catch-binding', '7.8.3')
('npm:jest-runner', '29.7.0')
('rubygems:fuubar', '2.5.1')
('npm:p-locate', '6.0.0')
('npm:babel-plugin-polyfill-corejs2', '0.4.10')
('rubygems:date', '3.3.4')
('npm:is-number-object', '1.0.7')
('npm:concat-map', '0.0.1')
('npm:ajv', '6.12.6')
('npm:walker', '1.0.8')
('rubygems:rainbow', '3.1.1')
('npm:@tootallnate/once', '2.0.0')
('pip:playwright', '1.44.0')
('npm:@babel/plugin-transform-private-methods', '7.24.7')
('npm:type-detect', '4.0.8')
('npm:function.prototype.name', '1.1.6')
('rubygems:cookies_eu', '1.7.8')
('rubygems:ttfunk', '1.8.0')
('npm:@babel/plugin-transform-block-scoped-functions', '7.24.7')
('npm:@jest/globals', '29.7.0')
('npm:debug', '4.3.4')
('npm:v8-to-istanbul', '9.1.0')
('npm:rechoir', '0.8.0')
('npm:get-intrinsic', '1.2.4')
('npm:sass-loader', '14.2.1')
('npm:string.prototype.trimstart', '1.0.7')
('npm:@babel/plugin-transform-reserved-words', '7.24.7')
('npm:unicode-property-aliases-ecmascript', '2.1.0')
('npm:minipass', '3.3.6')
('npm:is-generator-fn', '2.1.0')
('npm:tr46', '0.0.3')
('npm:mini-css-extract-plugin', '2.9.0')
('npm:nth-check', '2.1.1')
('npm:xmlchars', '2.2.0')
('npm:nwsapi', '2.2.1')
('npm:lru-cache', '6.0.0')
('rubygems:ruby-rc4', '0.1.5')
('rubygems:pdf-core', '0.10.0')
('rubygems:dry-initializer', '3.1.1')
('npm:babel-plugin-polyfill-corejs3', '0.10.4')
('npm:@babel/helper-module-imports', '7.24.7')
('npm:@babel/plugin-syntax-async-generators', '7.8.4')
('npm:ajv-keywords', '5.1.0')
('npm:@babel/plugin-syntax-import-attributes', '7.24.7')
('npm:cssesc', '3.0.0')
('npm:has-tostringtag', '1.0.2')
('npm:@babel/plugin-transform-modules-systemjs', '7.24.7')
('rubygems:action_policy', '0.6.9')
('npm:@types/json-schema', '7.0.11')
('rubygems:autoprefixer-rails', '10.4.16.0')
('npm:esutils', '2.0.3')
('npm:canvas', '2.11.2')
('npm:validate.io-function', '1.0.2')
('npm:@babel/plugin-transform-runtime', '7.24.7')
('npm:set-function-name', '2.0.2')
('npm:array.prototype.find', '2.2.2')
('npm:moo-color', '1.0.3')
('npm:immutable', '4.1.0')
('npm:@babel/plugin-transform-private-property-in-object', '7.24.7')
('rubygems:parser', '3.3.2.0')
('npm:resolve-cwd', '3.0.0')
('npm:dedent', '1.5.1')
('npm:@webassemblyjs/helper-api-error', '1.11.6')
('npm:performance-now', '2.1.0')
('npm:discontinuous-range', '1.0.0')
