('pip:sphinx-bootstrap-theme', '')
('pip:requests', '')
('maven:org.apache.httpcomponents:httpclient', '4.5.5')
('maven:org.springframework.boot:spring-boot-starter-web', '')
('npm:brfs', '^ 1.2.0')
('maven:org.asciidoctor:asciidoctorj-pdf', '1.5.0-alpha.10.1')
('maven:com.github.docker-java:docker-java', '3.2.1')
('npm:@babel/cli', '7.7.5')
('npm:jest-fetch-mock', '2.1.2')
('npm:grunt-contrib-connect', '~ 0.6.0')
('pip:robotframework-extendedrequestslibrary', '')
('npm:@rollup/plugin-node-resolve', '7.0.0')
('npm:@rollup/plugin-commonjs', '^ 11.0.1')
