('pip:pillow', '')
('pip:psycopg2', '')
('pip:django', '>= 3.2,< 4')
('pip:boto3', '')
('pip:coverage', '')
('pip:django-cors-headers', '')
('pip:django-allauth', '0.54.0')
('pip:django-taggit', '')
('pip:pylint', '')
('pip:stripe', '')
('pip:django-storages', '')
('pip:djangorestframework', '')
('com.github.kkosiba/ecommerce-backend', '')
('pip:djangorestframework-jwt', '')
('pip:django-heroku', '')
('pip:django-rest-auth', '')
('pip:dj-database-url', '')
('pip:gunicorn', '')
