('npm:tapable', '2.2.1')
('npm:@pixi/filter-motion-blur', '5.1.1')
('npm:eslint-module-utils', '2.8.1')
('npm:terser-webpack-plugin', '5.3.10')
('npm:pixi-filters', '5.3.0')
('npm:min-indent', '1.0.1')
('npm:@typescript-eslint/typescript-estree', '5.62.0')
('npm:rehype-ignore', '1.0.5')
('npm:potpack', '1.0.2')
('npm:jsonparse', '0.0.5')
('npm:@mapbox/geojson-extent', '1.0.1')
('npm:wkt', '0.1.1')
('npm:supports-color', '5.5.0')
('npm:camel-case', '4.1.2')
('npm:has-flag', '4.0.0')
('npm:d3-fetch', '3.0.1')
('npm:data-view-buffer', '1.0.1')
('npm:union-value', '1.0.1')
('npm:colord', '2.9.3')
('npm:object.values', '1.2.0')
('npm:safe-regex-test', '1.0.3')
('npm:get-own-enumerable-property-symbols', '3.0.2')
('npm:@uiw/copy-to-clipboard', '1.0.17')
('npm:@csstools/postcss-progressive-custom-properties', '1.3.0')
('npm:dotenv', '10.0.0')
('npm:hast-util-select', '5.0.5')
('npm:@types/connect', '3.4.38')
('npm:@emotion/use-insertion-effect-with-fallbacks', '1.0.1')
('npm:external-editor', '3.1.0')
('npm:diff-sequences', '27.5.1')
('npm:micromark-core-commonmark', '1.1.0')
('npm:js-yaml', '3.14.1')
('npm:es-get-iterator', '1.1.3')
('npm:typewise', '1.0.3')
('npm:rehype-slug', '5.1.0')
('npm:postcss-normalize-string', '5.1.0')
('npm:doctrine', '3.0.0')
('npm:babel-preset-react-app', '10.0.1')
('npm:workbox-precaching', '7.1.0')
('npm:es-array-method-boxes-properly', '1.0.0')
('npm:object-hash', '3.0.0')
('npm:rollup-plugin-terser', '7.0.2')
('npm:attr-accept', '2.2.2')
('npm:autoprefixer', '9.8.8')
('npm:stackframe', '1.3.4')
('npm:@svgr/babel-plugin-remove-jsx-empty-expression', '5.0.1')
('npm:loose-envify', '1.4.0')
('npm:@sentry/cli-linux-arm', '2.31.0')
('npm:jest-circus', '27.5.1')
('npm:@jest/test-result', '27.5.1')
('npm:ora', '5.4.1')
('npm:source-map', '0.8.0-beta.0')
('npm:compute-scroll-into-view', '1.0.20')
