('rust:infer', '0.2.3')
('rust:anstyle-wincon', '1.0.1')
('rust:hermit-abi', '0.3.1')
('rust:windows_i686_msvc', '0.52.0')
('rust:parking_lot_core', '0.9.3')
('rust:generic-array', '0.14.6')
('rust:futures-macro', '0.3.27')
('rust:num_threads', '0.1.6')
('rust:termcolor', '1.1.3')
('rust:tinyvec_macros', '0.1.0')
('rust:vcpkg', '0.2.15')
('rust:cache-padded', '1.2.0')
('rust:winapi-util', '0.1.5')
('rust:windows_aarch64_gnullvm', '0.48.0')
('rust:httpdate', '1.0.2')
('rust:anstream', '0.3.2')
('rust:rustix', '0.37.25')
('rust:futures-core', '0.3.27')
('rust:futures-task', '0.3.27')
('rust:anyhow', '1.0.65')
('rust:winapi-x86_64-pc-windows-gnu', '0.4.0')
('rust:deadpool-runtime', '0.1.2')
('rust:windows_aarch64_msvc', '0.52.0')
('rust:parking', '2.0.0')
('rust:byteorder', '1.5.0')
('rust:miniz_oxide', '0.7.1')
('rust:impl-more', '0.1.6')
('rust:tokio-macros', '2.1.0')
('rust:config', '0.13.4')
('rust:synstructure', '0.12.6')
('rust:actix-tls', '3.3.0')
('rust:wasi', '0.11.0+wasi-snapshot-preview1')
('rust:base64', '0.13.1')
('rust:num-derive', '0.4.1')
('rust:windows-targets', '0.52.0')
('rust:base64', '0.21.7')
('rust:actix-rt', '2.9.0')
('rust:js-sys', '0.3.60')
('rust:either', '1.8.0')
('rust:crc32fast', '1.3.2')
('rust:ahash', '0.8.7')
('rust:sha1', '0.10.5')
('rust:futures-sink', '0.3.27')
('rust:language-tags', '0.3.2')
('rust:lazycell', '1.3.0')
('rust:tower-service', '0.3.2')
('rust:openssl-macros', '0.1.0')
('rust:windows_i686_msvc', '0.36.1')
('rust:which', '4.3.0')
('rust:zerocopy-derive', '0.7.32')
('rust:crypto-common', '0.1.6')
('rust:equivalent', '1.0.1')
('rust:scopeguard', '1.1.0')
('rust:windows_i686_msvc', '0.48.0')
('rust:once_cell', '1.19.0')
('rust:mio', '0.8.11')
('rust:sync_wrapper', '0.1.2')
('rust:tokio-openssl', '0.6.3')
('rust:wasm-bindgen-macro', '0.2.83')
('rust:rustc-hash', '1.1.0')
('rust:concurrent-queue', '1.2.4')
