('go:go.opentelemetry.io/otel/metric', '1.28.0')
('go:github.com/go-logfmt/logfmt', '0.6.0')
('go:cloud.google.com/go', '0.114.0')
('go:k8s.io/klog/v2', '2.120.1')
('npm:resolve-from', '3.0.0')
('go:go.opentelemetry.io/collector/pdata', '1.11.0')
('go:github.com/zhangyunhao116/umap', '0.0.0-20221211160557-cb7705fafa39')
('npm:is-binary-path', '2.1.0')
('npm:caniuse-lite', '1.0.30001107')
('npm:argparse', '1.0.10')
('npm:node-releases', '1.1.72')
('go:go.etcd.io/etcd/api/v3', '3.5.14')
('npm:is-directory', '0.3.1')
('npm:get-stdin', '8.0.0')
('npm:reusify', '1.0.4')
('go:github.com/mwitkow/go-conntrack', '0.0.0-20190716064945-2f068394615f')
('go:cloud.google.com/go/auth', '0.5.1')
('go:github.com/efficientgo/core', '1.0.0-rc.2')
('go:github.com/aws/aws-sdk-go-v2/feature/ec2/imds', '1.12.17')
('go:github.com/jmespath/go-jmespath', '0.4.0')
('npm:caniuse-lite', '1.0.30001230')
('go:github.com/docker/go-units', '0.5.0')
('go:github.com/cenkalti/backoff/v4', '4.3.0')
('npm:globby', '11.1.0')
('npm:ansi-styles', '3.2.1')
('npm:import-from', '2.1.0')
('go:github.com/aws/aws-sdk-go-v2/credentials', '1.12.20')
('go:github.com/rs/xid', '1.5.0')
('go:github.com/aws/aws-sdk-go-v2/internal/endpoints/v2', '2.4.17')
('npm:cosmiconfig', '5.2.1')
('npm:nanoid', '3.3.6')
('actions:github/codeql-action/upload-sarif', '1b1aada464948af03b950897e5eb522f92603cc2')
('go:go4.org/unsafe/assume-no-moving-gc', '0.0.0-20230525183740-e7c30c78aeb2')
('npm:supports-color', '7.2.0')
('go:golang.org/x/oauth2', '0.21.0')
('go:github.com/mailru/easyjson', '0.7.7')
('go:github.com/prometheus/client_golang', '1.19.1')
('go:github.com/shurcooL/httpfs', '0.0.0-20230704072500-f1e31cf0ba5c')
('go:github.com/uber/jaeger-lib', '2.4.1+incompatible')
('go:github.com/gogo/googleapis', '1.4.0')
('npm:merge2', '1.4.1')
('go:github.com/aws/smithy-go', '1.13.3')
('go:github.com/golang-migrate/migrate/v4', '4.17.1')
('npm:num2fraction', '1.2.2')
('go:golang.org/x/tools', '0.22.0')
('go:gonum.org/v1/gonum', '0.12.0')
('actions:actions/checkout', 'b4ffde65f46336ab88eb53be808477a3936bae11')
('npm:is-glob', '4.0.3')
('go:github.com/aws/aws-sdk-go-v2/service/internal/presigned-url', '1.9.17')
('go:github.com/lann/ps', '0.0.0-20150810152359-62de8c46ede0')
('go:github.com/stretchr/objx', '0.5.2')
('go:github.com/klauspost/compress', '1.17.9')
('npm:path-type', '4.0.0')
('npm:pify', '2.3.0')
('go:github.com/jessevdk/go-flags', '1.5.0')
('npm:chalk', '4.1.2')
('go:github.com/mitchellh/mapstructure', '1.5.0')
('go:github.com/coreos/go-semver', '0.3.0')
('go:github.com/prometheus/exporter-toolkit', '0.11.0')
('npm:fs-extra', '9.1.0')
('go:golang.org/x/sync', '0.7.0')
('go:github.com/hashicorp/golang-lru', '0.6.0')
('go:go.mongodb.org/mongo-driver', '1.14.0')
('npm:@nodelib/fs.walk', '1.2.8')
('npm:is-fullwidth-code-point', '3.0.0')
('go:github.com/AzureAD/microsoft-authentication-library-for-go', '1.2.2')
('npm:colorette', '1.2.2')
('go:github.com/pmezard/go-difflib', '1.0.1-0.20181226105442-5d4384ee4fb2')
('npm:binary-extensions', '2.2.0')
('go:github.com/pkg/browser', '0.0.0-20240102092130-5ac0b6a4141c')
('actions:actions/download-artifact', '4.*.*')
('go:github.com/hashicorp/errwrap', '1.1.0')
('npm:escalade', '3.1.1')
('npm:error-ex', '1.3.2')
('npm:autoprefixer', '9.8.5')
('go:github.com/aws/aws-sdk-go', '1.54.19')
('go:gopkg.in/telebot.v3', '3.2.1')
('npm:pretty-hrtime', '1.0.3')
('go:go4.org/intern', '0.0.0-20230525184215-6c62f75575cb')
('go:github.com/go-openapi/validate', '0.24.0')
('go:github.com/VictoriaMetrics/fastcache', '1.12.2')
('go:github.com/dennwc/varint', '1.0.0')
('npm:lodash', '4.17.21')
('npm:run-parallel', '1.2.0')
('go:github.com/asaskevich/govalidator', '0.0.0-20230301143203-a9d515a09cc2')
('actions:github/codeql-action/autobuild', '3.*.*')
('npm:micromatch', '4.0.5')
('npm:log-symbols', '2.2.0')
('npm:camelcase', '5.3.1')
('go:github.com/alecthomas/units', '0.0.0-20231202071711-9a357b53e9c9')
('npm:at-least-node', '1.0.0')
('npm:import-cwd', '2.1.0')
('npm:postcss-load-config', '2.1.2')
('npm:colorette', '1.2.1')
('go:k8s.io/utils', '0.0.0-20230726121419-3b25d923346b')
('npm:fast-glob', '3.2.11')
('go:github.com/gorilla/mux', '1.8.1')
('go:github.com/weaveworks/promrus', '1.2.0')
('npm:fsevents', '2.3.2')
('npm:readdirp', '3.6.0')
