('npm:browserslist', '4.16.8')
('npm:define-properties', '1.1.3')
('npm:@babel/plugin-syntax-optional-chaining', '7.8.3')
('npm:retry', '0.12.0')
('npm:@babel/plugin-proposal-nullish-coalescing-operator', '7.14.5')
('npm:@types/node', '16.7.2')
('npm:@babel/types', '7.15.0')
('actions:Azure/functions-action', '1')
('actions:azure/docker-login', '1')
('pip:azure-ai-formrecognizer', '1.0.0b3')
('npm:jsesc', '2.5.2')
('npm:@types/istanbul-reports', '3.0.1')
('npm:get-stream', '5.2.0')
('npm:path-is-absolute', '1.0.1')
('npm:slash', '3.0.0')
('npm:to-regex-range', '5.0.1')
('npm:@babel/helper-hoist-variables', '7.14.5')
('nuget:Azure.Storage.Queues', '12.7.0')
('npm:object-keys', '1.1.1')
('npm:globals', '11.12.0')
('npm:@types/yargs', '15.0.14')
('pip:dotmap', '1.3.17')
('nuget:System.Linq.Async', '5.0.0')
('npm:to-fast-properties', '2.0.0')
('npm:https-proxy-agent', '5.0.0')
('npm:debug', '4.3.2')
('npm:colorette', '1.3.0')
('npm:extract-zip', '2.0.1')
('npm:call-bind', '1.0.2')
('npm:@babel/helper-module-transforms', '7.15.0')
('npm:@types/yargs-parser', '20.2.1')
('nuget:Microsoft.Azure.WebJobs.Extensions.SignalRService', '1.6.0')
('npm:@babel/helper-compilation-targets', '7.15.0')
('npm:@babel/plugin-syntax-async-generators', '7.8.4')
('npm:jest-diff', '26.6.2')
('npm:braces', '3.0.2')
('npm:@types/istanbul-lib-coverage', '2.0.3')
('pip:smart-getenv', '1.1.0')
('nuget:Microsoft.Bcl.AsyncInterfaces', '5.0.0')
('npm:pretty-format', '26.6.2')
('npm:@babel/helper-split-export-declaration', '7.14.5')
('npm:progress', '2.0.3')
('npm:yauzl', '2.10.0')
('npm:@babel/plugin-transform-modules-commonjs', '7.15.0')
('npm:get-intrinsic', '1.1.1')
('npm:has-symbols', '1.0.2')
('npm:js-tokens', '4.0.0')
('npm:jest-matcher-utils', '26.6.2')
('nuget:Microsoft.AspNetCore.Components.WebAssembly', '5.0.7')
('npm:@babel/helper-skip-transparent-expression-wrappers', '7.14.5')
('npm:@babel/plugin-syntax-private-property-in-object', '7.14.5')
('pip:azure-cosmos', '4.0.0')
('pip:azure-ai-textanalytics', '1.0.0')
('npm:function-bind', '1.1.1')
