('rubygems:hashie', '4.1.0')
('npm:react-dom', '18.3.1')
('rubygems:crack', '1.0.0')
('rubygems:faraday-patron', '1.0.0')
('rubygems:zeitwerk', '2.6.16')
('rubygems:actiontext', '6.1.7.8')
('rubygems:date', '3.3.4')
('npm:typescript', '5.5.3')
('npm:@parcel/transformer-typescript-tsc', '2.12.0')
('rubygems:rails', '6.1.7.8')
('npm:i18next', '23.11.5')
('npm:xterm', '5.3.0')
('rubygems:nio4r', '2.7.3')
('rubygems:railties', '6.1.7.8')
('rubygems:digest-crc', '0.6.5')
('rubygems:rails_serve_static_assets', '0.0.5')
('npm:markdown-it', '14.1.0')
('rubygems:google-cloud-storage', '1.52.0')
('rubygems:rails_12factor', '0.0.3')
('npm:@types/lodash', '4.17.6')
('rubygems:activejob', '6.1.7.8')
('npm:farmbot', '15.8.8')
('rubygems:rexml', '3.3.1')
('rubygems:rails-html-sanitizer', '1.6.0')
('npm:events', '3.3.0')
('npm:@types/enzyme', '3.10.12')
('rubygems:rack', '2.2.9')
('rubygems:google-apis-iamcredentials_v1', '0.21.0')
('npm:eslint-plugin-react', '7.34.3')
('rubygems:climate_control', '1.2.0')
('rubygems:google-cloud-errors', '1.4.0')
('npm:eslint', '8.57.0')
('rubygems:strscan', '3.1.0')
('rubygems:rbtree', '0.4.6')
('rubygems:rails-dom-testing', '2.2.0')
('rubygems:valid_url', '0.0.4')
('npm:punycode', '1.4.1')
('npm:three', '0.166.1')
('npm:npm', '10.8.1')
('npm:@types/markdown-it', '14.1.1')
('rubygems:trailblazer-option', '0.1.2')
('rubygems:rspec', '3.13.0')
('rubygems:crass', '1.0.6')
('npm:@types/react-dom', '18.3.0')
('rubygems:rake', '13.2.1')
('rubygems:webmock', '3.23.1')
('npm:@types/three', '0.166.0')
('rubygems:net-smtp', '0.5.0')
('npm:monaco-editor', '0.50.0')
('rubygems:kaminari', '1.2.2')
('rubygems:scenic', '1.8.0')
('rubygems:minitest', '5.24.1')
('rubygems:mutations', '0.9.1')
('rubygems:lograge', '0.14.0')
('npm:@react-three/fiber', '8.16.8')
('rubygems:thor', '1.3.1')
('rubygems:declarative', '0.0.20')
('npm:moment', '2.30.1')
('rubygems:mini_mime', '1.1.5')
('npm:axios', '1.7.2')
('rubygems:simplecov', '0.22.0')
('npm:react-redux', '9.1.2')
('rubygems:passenger', '6.0.22')
('rubygems:net-pop', '0.1.2')
('npm:sass', '1.77.6')
('npm:@typescript-eslint/parser', '7.15.0')
('rubygems:ruby2_keywords', '0.0.5')
('rubygems:case_transform', '0.2')
('rubygems:rspec-core', '3.13.0')
('rubygems:retriable', '3.1.2')
('rubygems:concurrent-ruby', '1.3.3')
('rubygems:rspec-expectations', '3.13.1')
