('npm:is-binary-path', '2.1.0')
('npm:argparse', '1.0.10')
('npm:esbuild-linux-ppc64le', '0.14.38')
('npm:tone', '14.8.39')
('npm:q', '1.5.1')
('npm:esbuild', '0.14.38')
('pip:courts-db', '0.9.13')
('npm:@babel/generator', '7.17.10')
('actions:harvard-lil/docker-compose-update-action', 'main')
('pip:typing-extensions', '4.3.0')
('pip:certifi', '2023.7.22')
('npm:estree-walker', '2.0.2')
('npm:consola', '2.15.3')
('npm:yargs', '17.4.1')
('npm:@babel/helpers', '7.17.9')
('npm:es-abstract', '1.19.5')
('pip:elasticsearch', '7.8.1')
('pip:nltk', '3.7')
('pip:inflection', '0.3.1')
('pip:boto3', '1.28.11')
('npm:@babel/types', '7.17.10')
('npm:@babel/plugin-transform-typescript', '7.16.8')
('npm:is-docker', '2.2.1')
('npm:regenerator-runtime', '0.13.9')
('npm:ansi-styles', '3.2.1')
('npm:whatwg-url', '5.0.0')
('npm:chartjs-color-string', '0.6.0')
('npm:@vue/babel-sugar-inject-h', '1.2.2')
('pip:matplotlib-inline', '0.1.3')
('npm:@vue/babel-sugar-v-on', '1.2.3')
('pip:werkzeug', '0.15.5')
('npm:querystring', '0.2.1')
('npm:@babel/plugin-proposal-class-properties', '7.16.7')
('npm:resolve', '1.22.0')
('npm:standardized-audio-context', '25.3.23')
('pip:django-simple-history', '3.0.0')
('npm:@babel/helper-split-export-declaration', '7.16.7')
('npm:supports-color', '7.2.0')
('npm:object-keys', '1.1.1')
('npm:globals', '11.12.0')
('pip:elasticsearch-dsl', '7.3.0')
('pip:natsort', '7.0.1')
('npm:compute-scroll-into-view', '1.0.17')
('npm:popper.js', '1.16.1')
('pip:kombu', '4.5.0')
('pip:ruamel-yaml', '0.15.87')
('pip:greenlet', '2.0.2')
('npm:nth-check', '2.0.1')
('npm:wrap-ansi', '7.0.0')
('npm:get-intrinsic', '1.1.1')
('npm:is-glob', '4.0.3')
('pip:django', '3.2.24')
('pip:text-unidecode', '1.3')
('npm:chalk', '4.1.2')
('npm:has-property-descriptors', '1.0.0')
('npm:convert-source-map', '1.8.0')
('npm:fs-extra', '9.1.0')
('npm:which-boxed-primitive', '1.0.2')
('npm:cliui', '7.0.4')
('npm:is-fullwidth-code-point', '3.0.0')
('npm:domelementtype', '1.3.1')
('npm:postcss', '8.4.13')
('pip:decorator', '4.4.1')
('pip:pyyaml', '5.4.1')
('npm:binary-extensions', '2.2.0')
('npm:esbuild-android-64', '0.14.38')
('pip:markupsafe', '1.1.0')
('pip:vine', '1.3.0')
('pip:asgiref', '3.3.4')
('npm:escalade', '3.1.1')
('npm:fill-range', '7.0.1')
('pip:toml', '0.10.1')
('npm:bootstrap-vue', '2.22.0')
('pip:pluggy', '0.13.1')
