('npm:@webassemblyjs/helper-buffer', '1.9.0')
('npm:lodash.truncate', '4.4.2')
('rubygems:capybara-email', '3.0.2')
('npm:eslint-utils', '2.1.0')
('npm:supports-color', '5.5.0')
('rubygems:webpacker', '5.4.4')
('actions:DFE-Digital/github-actions/install-postgres-client', 'master')
('npm:b4a', '1.6.6')
('npm:has-flag', '4.0.0')
('rubygems:nenv', '0.3.0')
('npm:union-value', '1.0.1')
('npm:colord', '2.9.3')
('npm:qs', '6.11.2')
('npm:data-uri-to-buffer', '6.0.2')
('npm:safe-regex-test', '1.0.3')
('npm:uniq', '1.0.1')
('npm:js-yaml', '3.14.1')
('npm:regexpp', '3.2.0')
('npm:doctrine', '3.0.0')
('npm:mdn-data', '2.0.30')
('npm:icss-utils', '4.1.1')
('npm:@babel/core', '7.23.9')
('rubygems:mini_portile2', '2.8.7')
('npm:es-array-method-boxes-properly', '1.0.0')
('npm:component-emitter', '1.3.1')
('npm:autoprefixer', '9.8.8')
('rubygems:patience_diff', '1.2.0')
('npm:postcss-sorting', '8.0.2')
('npm:loose-envify', '1.4.0')
('npm:@aashutoshrathi/word-wrap', '1.2.6')
('npm:decode-uri-component', '0.2.2')
('npm:p-map', '4.0.0')
('rubygems:postcodes_io', '0.4.0')
('npm:delayed-stream', '1.0.0')
('npm:http-proxy-agent', '5.0.0')
('npm:brorand', '1.1.0')
('rubygems:rake', '13.2.1')
('rubygems:webmock', '3.23.1')
('npm:isobject', '3.0.1')
('rubygems:yabeda-prometheus', '0.9.1')
('rubygems:audited', '5.4.3')
('npm:accessible-autocomplete', '2.0.4')
('rubygems:combine_pdf', '1.0.26')
('npm:object-assign', '4.1.1')
('npm:is-absolute-url', '2.1.0')
('npm:@jest/core', '29.7.0')
('npm:nanomatch', '1.2.13')
('rubygems:concurrent-ruby', '1.3.3')
('npm:p-locate', '5.0.0')
('npm:findup-sync', '3.0.0')
('npm:@babel/preset-modules', '0.1.6-no-external-plugins')
('npm:has-proto', '1.0.3')
('npm:@babel/plugin-transform-unicode-property-regex', '7.23.3')
('npm:merge-stream', '2.0.0')
('npm:cacache', '15.3.0')
('npm:@types/parse-json', '4.0.2')
('npm:jest-regex-util', '29.6.3')
('npm:@babel/highlight', '7.23.4')
('npm:snapdragon', '0.8.2')
('npm:kind-of', '4.0.0')
('npm:babel-plugin-polyfill-corejs3', '0.9.0')
('npm:stream-browserify', '2.0.2')
('npm:postcss-media-minmax', '4.0.0')
('npm:functions-have-names', '1.2.3')
('npm:eslint-config-standard-jsx', '11.0.0')
('npm:import-local', '3.1.0')
