('rust:http-body', '1.0.0')
('rust:zbus_names', '2.6.1')
('rust:wasm-bindgen-backend', '0.2.92')
('rust:anstream', '0.6.13')
('actions:cloudsmith-io/action', 'master')
('rust:windows-interface', '0.57.0')
('rust:dtoa-short', '0.3.4')
('npm:@fontsource/fira-mono', '4.5.10')
('rust:cipher', '0.4.4')
('rust:yansi', '0.5.1')
('rust:json-patch', '1.2.0')
('rust:libappindicator-sys', '0.7.3')
('npm:@tsconfig/node12', '1.0.11')
('npm:chalk', '4.1.2')
('rust:sha2', '0.10.8')
('npm:is-fullwidth-code-point', '3.0.0')
('npm:ws', '8.17.1')
('rust:sha1-asm', '0.5.2')
('npm:esbuild-darwin-arm64', '0.15.18')
('rust:windows-sys', '0.52.0')
('rust:itoa', '0.4.8')
('rust:rand', '0.7.3')
('rust:gtk-sys', '0.15.3')
('rust:resolv-conf', '0.7.0')
('rust:loom', '0.5.6')
('rust:num_enum', '0.5.11')
('npm:@babel/helper-validator-identifier', '7.22.20')
('rust:sha1', '0.10.6')
('rust:tauri', '1.6.7')
('rust:memmap2', '0.9.4')
('rubygems:faraday-em_synchrony', '1.0.0')
('rust:cairo-rs', '0.15.12')
('npm:basic-ftp', '5.0.5')
('npm:esbuild-windows-arm64', '0.15.18')
('rust:objc_id', '0.1.1')
('rust:heck', '0.3.3')
('npm:minizlib', '2.1.2')
('npm:fsevents', '2.3.2')
('rust:parking_lot', '0.12.1')
('npm:readdirp', '3.6.0')
('rust:async-io', '1.13.0')
('npm:js-yaml', '4.1.0')
('rust:rustc_version', '0.4.0')
('rust:tauri-utils', '>= 1.5.3,< 2.0.0')
('npm:supports-preserve-symlinks-flag', '1.0.0')
('rubygems:tomlrb', '1.3.0')
('npm:@npmcli/fs', '1.1.1')
('rust:event-listener-strategy', '0.4.0')
('npm:minipass', '4.0.0')
('rust:tauri-winrt-notification', '>= 0.5.0,< 0.6.0')
('rust:paste', '1.0.14')
('npm:typical', '5.2.0')
('actions:release-drafter/release-drafter', '5')
('actions:docker/login-action', '3.*.*')
