('maven:com.github.cafapi.logging:caf-logging-logback', '2.1.0-374')
('maven:org.glassfish.jersey.ext:jersey-bean-validation', '3.0.14')
('maven:jakarta.validation:jakarta.validation-api', '3.1.0')
('maven:org.graalvm.truffle:truffle-compiler', '24.0.1')
('maven:com.github.cafapi.plugins.docker.versions:docker-versions-maven-plugin', '1.0.0-29')
('maven:io.kubernetes:client-java-api-fluent', '20.0.1')
('maven:com.squareup.okhttp3:logging-interceptor', '5.0.0-alpha.14')
('maven:org.bouncycastle:bcpkix-jdk18on', '1.78.1')
('maven:com.github.cafapi.cipher:cipher-null', '3.1.0-596')
('maven:org.glassfish.jersey.containers:jersey-container-servlet-core', '3.0.14')
('maven:com.github.cafapi.util:util-process-identifier', '3.1.0-596')
('maven:org.slf4j:slf4j-api', '2.0.13')
('maven:com.github.cafapi.cipher:cipher-null', '')
('maven:io.kubernetes:client-java-proto', '20.0.1')
('maven:org.glassfish.jersey.media:jersey-media-json-jackson', '')
('maven:com.github.cafapi.codec:codec-json', '3.1.0-596')
('maven:ch.qos.logback:logback-core', '1.5.6')
('maven:org.glassfish.jersey.media:jersey-media-json-jackson', '3.0.14')
('maven:org.graalvm.sdk:jniutils', '24.0.1')
('maven:org.glassfish.hk2.external:aopalliance-repackaged', '3.1.0')
('maven:org.apiguardian:apiguardian-api', '1.1.2')
('maven:com.github.cafapi.election:election-null', '3.1.0-596')
('maven:com.nimbusds:content-type', '2.3')
('maven:com.github.cafapi.election:election-null', '')
('maven:io.kubernetes:client-java-api', '')
('maven:ch.qos.logback:logback-access', '1.4.14')
('maven:io.prometheus:simpleclient_tracer_common', '0.16.0')
('maven:org.eclipse.angus:angus-mail', '2.0.3')
('maven:jakarta.el:jakarta.el-api', '6.0.0')
('maven:io.dropwizard:dropwizard-configuration', '')
('maven:jakarta.mail:jakarta.mail-api', '')
('maven:org.slf4j:log4j-over-slf4j', '2.0.13')
('maven:io.dropwizard.metrics:metrics-annotation', '4.2.26')
('maven:com.fasterxml:classmate', '1.7.0')
('maven:io.dropwizard:dropwizard-logging', '')
('maven:org.eclipse.angus:angus-mail', '')
('maven:com.fasterxml.jackson.module:jackson-module-jakarta-xmlbind-annotations', '2.17.1')
('maven:org.junit.jupiter:junit-jupiter-api', '5.10.2')
('maven:org.graalvm.js:js-scriptengine', '24.0.1')
('maven:commons-io:commons-io', '2.16.1')
('maven:jakarta.ws.rs:jakarta.ws.rs-api', '')
('maven:org.mockito:mockito-inline', '5.2.0')
('maven:com.googlecode.maven-download-plugin:download-maven-plugin', '')
('maven:org.apache.commons:commons-lang3', '3.14.0')
('maven:com.flipkart.zjsonpatch:zjsonpatch', '0.4.16')
('maven:org.eclipse.jetty:jetty-servlets', '11.0.21')
('maven:org.mockito:mockito-core', '')
('maven:org.jboss.logging:jboss-logging', '3.6.0')
('maven:io.prometheus:simpleclient_tracer_otel_agent', '0.16.0')
('maven:org.objenesis:objenesis', '3.4')
('maven:com.github.autoscaler:autoscale-api', '3.0.0-SNAPSHOT')
('maven:org.graalvm.regex:regex', '24.0.1')
('maven:com.google.protobuf:protobuf-java', '4.27.1')
('maven:io.prometheus:simpleclient_common', '0.16.0')
('maven:com.google.guava:failureaccess', '1.0.2')
('maven:jakarta.xml.bind:jakarta.xml.bind-api', '4.0.2')
('maven:org.bouncycastle:bcutil-jdk18on', '1.78.1')
('maven:org.graalvm.sdk:collections', '24.0.1')
('maven:io.dropwizard.metrics:metrics-core', '4.2.26')
('maven:org.slf4j:slf4j-api', '')
('maven:com.google.guava:guava', '')
('maven:org.eclipse.jetty:jetty-util', '11.0.21')
('maven:com.github.vladimir-bukhtoyarov:bucket4j-core', '8.0.1')
('maven:com.netflix.feign:feign-slf4j', '8.18.0')
('maven:jakarta.validation:jakarta.validation-api', '')
('maven:io.prometheus:simpleclient', '0.16.0')
('maven:org.eclipse.angus:angus-activation', '2.0.2')
('maven:org.graalvm.polyglot:polyglot', '24.0.1')
('maven:com.github.cafapi:caf-api', '3.1.0-596')
('maven:io.dropwizard:dropwizard-util', '4.0.7')
('maven:org.junit.jupiter:junit-jupiter-api', '')
('maven:com.github.cafapi:caf-api', '')
('maven:io.dropwizard.metrics:metrics-jakarta-servlets', '4.2.26')
('maven:com.github.cafapi.decoder:decoder-js', '')
('maven:com.squareup.okio:okio-jvm', '3.9.0')
('maven:org.apache.commons:commons-compress', '')
('maven:org.glassfish.hk2:hk2-api', '3.1.0')
('maven:com.github.autoscaler:autoscale-email-alert-dispatcher', '3.0.0-SNAPSHOT')
('maven:org.glassfish.jersey.containers:jersey-container-servlet', '3.0.14')
('maven:com.fasterxml.jackson.core:jackson-databind', '2.17.1')
('maven:com.github.autoscaler:autoscale-source-kubernetes', '3.0.0-SNAPSHOT')
('maven:com.github.cafapi.config:config-decoder', '3.1.0-596')
('maven:org.glassfish.jersey.core:jersey-client', '')
('maven:com.github.cafapi.config:config-decoder', '')
('maven:com.github.cafapi.logging:caf-logging-common', '2.1.0-374')
('maven:com.github.autoscaler:autoscale-scaler-kubernetes', '3.0.0-SNAPSHOT')
('maven:org.glassfish.jersey.core:jersey-client', '3.0.14')
('maven:com.rabbitmq:amqp-client', '5.21.0')
('maven:io.dropwizard:dropwizard-validation', '4.0.7')
('maven:com.google.guava:guava', '33.2.1-jre')
('maven:org.mockito:mockito-junit-jupiter', '5.12.0')
('maven:com.github.autoscaler:autoscale-kubernetes-shared', '3.0.0-SNAPSHOT')
('maven:com.github.cafapi.codec:codec-json', '')
('maven:com.google.code.findbugs:jsr305', '3.0.2')
('maven:org.glassfish.jersey.core:jersey-server', '3.0.14')
