('maven:org.springframework.boot:spring-boot-maven-plugin', '')
('maven:org.springframework.boot:spring-boot-maven-plugin', '2.1.0.RELEASE')
('maven:org.apache.dubbo:dubbo-registry-nacos', '2.7.18')
('maven:org.apache.maven.plugins:maven-compiler-plugin', '')
('maven:org.springframework:spring-web', '5.1.6')
('go:github.com/ugorji/go/codec', '1.2.11')
('maven:com.alibaba.cloud:cp-tree', '1.1.1-SNAPSHOT')
('go:github.com/gin-contrib/sse', '0.1.0')
('maven:org.apache.maven.plugins:maven-resources-plugin', '3.3.1')
('maven:io.micrometer:micrometer-registry-prometheus', '1.1.0')
('maven:com.taobao.pandora:pandora-boot-starter-bom', '2019-06-stable')
('maven:junit:junit', '4.13')
('pip:itsdangerous', '1.1.0')
('maven:com.taobao.pandora:pandora-boot-maven-plugin', '2.1.11.8')
('pip:pyzmq', '17.0.0')
('go:github.com/gin-gonic/gin', '1.8.0')
('maven:com.alibaba.cloud:spring-cloud-starter-alibaba-nacos-config', '')
('maven:org.springframework.boot:spring-boot-maven-plugin', '2.3.0')
('maven:org.springframework.boot:spring-boot-dependencies', '2.3.0.RELEASE')
('pip:locustio', '0.13.0')
('go:github.com/go-playground/validator/v10', '10.14.0')
('go:github.com/google/go-cmp', '0.6.0')
('pip:chardet', '3.0.4')
('maven:org.springframework.boot:spring-boot-maven-plugin', '2.6.1')
('maven:com.alibaba.boot:pandora-hsf-spring-boot-starter', '')
('maven:com.squareup.retrofit2:retrofit', '2.3.0')
('maven:com.squareup.retrofit2:converter-scalars', '2.3.0')
('go:github.com/mattn/go-isatty', '0.0.19')
('maven:org.apache.dubbo:dubbo-spring-boot-starter', '')
('maven:org.springframework:spring-core', '5.2.22')
('maven:org.apache.dubbo:dubbo-dependencies-bom', '2.7.18')
('go:github.com/kr/pretty', '0.3.1')
('go:github.com/modern-go/reflect2', '1.0.2')
('maven:com.taobao.pandora:pandora-boot-test', '')
('go:github.com/pelletier/go-toml/v2', '2.0.6')
('maven:org.springframework.boot:spring-boot-starter-test', '')
('maven:org.apache.dubbo:dubbo', '2.7.7')
('maven:com.taobao.pandora:taobao-hsf.sar', '')
('maven:io.prometheus:simpleclient_pushgateway', '0.9.0')
('maven:com.alibaba:dubbo', '2.6.12')
('maven:org.apache.commons:commons-lang3', '3.11')
('go:github.com/goccy/go-json', '0.10.2')
('maven:org.springframework.boot:spring-boot-starter-thymeleaf', '')
('maven:com.alibaba:profile-analyzer', '1.1.3')
('go:github.com/goccy/go-json', '0.10.3')
('maven:com.alibaba.cloud:spring-cloud-alibaba-dependencies', '2.2.7.RELEASE')
('go:google.golang.org/grpc', '1.40.0')
