('npm:safe-regex-test', '1.0.0')
('npm:spawn-wrap', '2.0.0')
('npm:minizlib', '2.1.2')
('npm:fsevents', '2.3.2')
('npm:readdirp', '3.6.0')
('npm:js-yaml', '4.1.0')
('npm:supports-preserve-symlinks-flag', '1.0.0')
('npm:compress-commons', '4.1.2')
('npm:convert-source-map', '1.9.0')
('npm:array-includes', '3.1.5')
('npm:convert-to-spaces', '2.0.1')
('npm:chokidar', '3.5.3')
('npm:array-union', '2.1.0')
('npm:conventional-changelog-core', '5.0.1')
('npm:jose', '4.15.4')
('npm:min-indent', '1.0.1')
('npm:meow', '8.1.2')
('npm:ws', '8.14.2')
('npm:lerna', '7.4.2')
('npm:semver', '5.7.1')
('npm:@types/responselike', '1.0.2')
('npm:sorted-array-functions', '1.3.0')
('npm:@hutson/parse-repository-url', '3.0.2')
('npm:cli-progress-footer', '2.3.2')
('npm:eslint-utils', '2.1.0')
('npm:supports-color', '5.5.0')
('npm:typed-array-buffer', '1.0.0')
('npm:has-flag', '4.0.0')
('npm:call-bind', '1.0.5')
('npm:set-function-name', '2.0.1')
('npm:nofilter', '3.1.0')
('npm:@aws-sdk/util-user-agent-node', '3.437.0')
('npm:read-pkg', '3.0.0')
('npm:@aws-crypto/util', '3.0.0')
('npm:external-editor', '3.1.0')
('npm:js-yaml', '3.14.1')
('npm:minio', '^ 7.0.32')
('npm:regexpp', '3.2.0')
('npm:is-inside-container', '1.0.0')
('npm:eslint-module-utils', '2.7.4')
('npm:currently-unhandled', '0.4.1')
('npm:doctrine', '3.0.0')
('npm:parse-path', '7.0.0')
('npm:proc-log', '3.0.0')
('npm:minio', '7.1.3')
('npm:retry', '0.12.0')
('npm:object-hash', '3.0.0')
('npm:modify-values', '1.0.1')
('npm:loose-envify', '1.4.0')
('npm:ora', '5.4.1')
('npm:decode-uri-component', '0.2.2')
('npm:p-map', '4.0.0')
('npm:conventional-commits-parser', '4.0.0')
('npm:read-pkg', '5.2.0')
('npm:p-locate', '2.0.0')
('npm:is-stream', '2.0.0')
('npm:util', '0.12.5')
('npm:delayed-stream', '1.0.0')
('npm:http-proxy-agent', '5.0.0')
('npm:npmlog', '6.0.2')
('npm:isobject', '3.0.1')
('npm:ncjsm', '4.3.2')
('npm:ignore-walk', '6.0.3')
('npm:object-assign', '4.1.1')
('npm:p-locate', '5.0.0')
('npm:merge-stream', '2.0.0')
('npm:@humanwhocodes/config-array', '0.11.6')
('npm:has-unicode', '2.0.1')
('npm:@smithy/invalid-dependency', '2.0.12')
('npm:semver', '7.5.3')
('npm:pluralize', '8.0.0')
('npm:functions-have-names', '1.2.3')
('npm:import-local', '3.1.0')
('npm:figures', '5.0.0')
('npm:path-key', '3.1.1')
('npm:parse-ms', '2.1.0')
('npm:lodash.isplainobject', '4.0.6')
('npm:find-up', '5.0.0')
('npm:p-queue', '^ 6.6.2')
('npm:@szmarczak/http-timer', '4.0.6')
('npm:@smithy/smithy-client', '2.1.12')
('npm:follow-redirects', '1.15.3')
('npm:native-promise-only', '0.8.1')
('npm:json5', '1.0.1')
('npm:camelcase-keys', '6.2.2')
('npm:@smithy/shared-ini-file-loader', '2.2.2')
('npm:hasown', '2.0.0')
('npm:is-string', '1.0.7')
('npm:conventional-changelog-writer', '6.0.1')
('npm:@aws-sdk/client-cloudformation', '3.441.0')
('npm:npm-bundled', '3.0.0')
('npm:camelcase', '7.0.1')
('npm:find-cache-dir', '3.3.2')
('npm:is-obj', '2.0.0')
('npm:eslint-visitor-keys', '3.3.0')
('npm:fast-levenshtein', '2.0.6')
('npm:ipaddr.js', '2.1.0')
('npm:open', '7.4.2')
('npm:find-requires', '1.0.0')
('npm:smart-buffer', '4.2.0')
('npm:es-to-primitive', '1.2.1')
('npm:inflight', '1.0.6')
('npm:jsonfile', '6.1.0')
('npm:validate-npm-package-license', '3.0.4')
('npm:@istanbuljs/load-nyc-config', '1.1.0')
('npm:inherits', '2.0.4')
('npm:socks', '2.7.1')
('npm:text-extensions', '1.9.0')
('npm:fs-constants', '1.0.0')
('npm:@babel/helper-split-export-declaration', '7.18.6')
('npm:text-table', '0.2.0')
('npm:fs-minipass', '3.0.3')
('npm:make-dir', '1.3.0')
('npm:@hapi/hoek', '11.0.2')
('npm:dotenv', '16.3.1')
('npm:es6-weak-map', '2.0.3')
('npm:ssri', '10.0.5')
('npm:@aws-sdk/credential-provider-process', '3.433.0')
('npm:essentials', '1.2.0')
('npm:@aws-crypto/sha256-browser', '3.0.0')
('npm:kind-of', '6.0.3')
('npm:is-unicode-supported', '0.1.0')
('npm:path-type', '3.0.0')
('npm:arrgv', '1.0.2')
('npm:uuid', '8.3.2')
('npm:@aws-sdk/client-sts', '3.441.0')
('npm:strip-ansi', '6.0.1')
('npm:estraverse', '5.3.0')
('npm:typedarray-to-buffer', '3.1.5')
('npm:npm-packlist', '7.0.4')
('npm:p-event', '5.0.1')
('npm:buffer', '5.7.1')
('npm:git-url-parse', '13.1.0')
('npm:type-fest', '2.19.0')
('npm:kinesis-readable', '^ 1.2.0')
('npm:semver', '7.5.4')
('npm:ansi-escapes', '4.3.2')
('npm:object.fromentries', '2.0.5')
('npm:base64-js', '1.5.1')
('npm:is-ssh', '1.4.0')
('npm:minimatch', '3.0.5')
('npm:p-memoize', '7.1.1')
('npm:shebang-command', '1.2.0')
('npm:ieee754', '1.1.13')
('npm:uni-global', '1.0.0')
('npm:@hapi/topo', '6.0.2')
('npm:update-browserslist-db', '1.0.10')
('npm:normalize-url', '6.1.0')
('npm:nopt', '6.0.0')
('npm:dateformat', '3.0.3')
('npm:levn', '0.4.1')
('npm:@hapi/hapi', '21.3.2')
('npm:concordance', '5.0.4')
('npm:@aws-crypto/ie11-detection', '3.0.0')
('npm:archiver-utils', '2.1.0')
('npm:type-fest', '3.13.1')
('npm:add-stream', '1.0.0')
('npm:concat-stream', '2.0.0')
('npm:type-fest', '0.6.0')
('npm:minipass-pipeline', '1.2.4')
('npm:json-parse-even-better-errors', '2.3.1')
('npm:safe-regex', '2.1.1')
('npm:serverless-offline', '13.2.0')
('npm:@zkochan/js-yaml', '0.0.6')
('npm:split', '1.0.1')
('npm:type-fest', '0.21.3')
('npm:xml', '1.0.1')
('npm:form-data', '4.0.0')
('npm:fs-extra', '10.1.0')
('npm:which', '1.3.1')
('npm:mem', '9.0.2')
('npm:import-fresh', '3.3.0')
('npm:rambda', '7.3.0')
('npm:@tufjs/models', '1.0.4')
('npm:iconv-lite', '0.4.24')
('npm:browserslist', '4.21.4')
('npm:execa', '5.0.0')
('npm:path-parse', '1.0.7')
('npm:@hapi/statehood', '8.1.1')
('npm:@humanwhocodes/module-importer', '1.0.1')
('npm:@yarnpkg/parsers', '3.0.0-rc.46')
('npm:once', '1.4.0')
('npm:log-symbols', '4.1.0')
('npm:natural-compare', '1.4.0')
('npm:@babel/helper-environment-visitor', '7.18.9')
('npm:del', '6.1.1')
('npm:lazystream', '1.0.1')
('npm:esniff', '1.1.0')
('npm:chalk', '2.4.2')
('npm:@hapi/nigel', '5.0.1')
('npm:serverless', '3.36.0')
('npm:path-key', '2.0.1')
('npm:spdx-license-ids', '3.0.12')
('npm:eslint-visitor-keys', '2.1.0')
('npm:matcher', '5.0.0')
('npm:is-number-object', '1.0.7')
('npm:@smithy/config-resolver', '2.0.16')
('npm:internal-slot', '1.0.6')
('npm:is-typed-array', '1.1.12')
('npm:@nx/nx-linux-x64-gnu', '16.10.0')
('npm:side-channel', '1.0.4')
('npm:release-zalgo', '1.0.0')
('npm:libnpmaccess', '7.0.2')
('npm:@serverless/event-mocks', '1.1.1')
('npm:@smithy/querystring-parser', '2.0.12')
('npm:@npmcli/installed-package-contents', '2.0.2')
('npm:@hapi/ammo', '6.0.1')
('npm:esutils', '2.0.3')
('npm:file-entry-cache', '6.0.1')
('npm:2-thenable', '1.0.0')
('npm:get-stream', '2.3.1')
('npm:yargs-parser', '20.2.4')
('npm:safe-array-concat', '1.0.1')
('npm:lru-cache', '7.18.3')
('npm:@babel/helper-compilation-targets', '7.19.3')
('npm:type-fest', '0.13.1')
('npm:resolve-from', '4.0.0')
('npm:make-fetch-happen', '10.2.1')
('npm:imurmurhash', '0.1.4')
('npm:create-eslint-index', '1.0.0')
('npm:path-exists', '4.0.0')
('npm:eslint-plugin-es', '3.0.1')
('npm:serverless-offline-kinesis', '^ 2.0.0')
('npm:enquirer', '2.3.6')
('npm:minimatch', '5.1.6')
('npm:ms', '2.1.3')
('npm:tar-stream', '2.2.0')
('npm:cbor', '8.1.0')
('npm:@babel/helper-module-transforms', '7.19.6')
('npm:vscode-languageserver-types', '3.17.2')
('npm:is-callable', '1.2.7')
('npm:@babel/helper-validator-option', '7.18.6')
('npm:@smithy/util-base64', '2.0.0')
('npm:is-boolean-object', '1.1.2')
('npm:ci-parallel-vars', '1.0.1')
('npm:chownr', '2.0.0')
('npm:tuf-js', '1.1.7')
('npm:stream-promise', '3.2.0')
('npm:get-symbol-description', '1.0.0')
('npm:process-utils', '4.0.0')
('npm:is-path-cwd', '2.2.0')
('npm:is-natural-number', '4.0.1')
('npm:@nx/devkit', '16.10.0')
('npm:yocto-queue', '1.0.0')
('npm:peek-readable', '4.1.0')
('npm:buffer-from', '1.1.2')
('npm:map-obj', '4.3.0')
('npm:es6-iterator', '2.0.3')
('npm:picomatch', '2.3.1')
('npm:is-wsl', '3.1.0')
('npm:map-obj', '1.0.1')
('npm:figures', '^ 3.0.0')
('npm:@babel/helper-validator-identifier', '7.19.1')
('npm:type-fest', '0.8.1')
('npm:npm-registry-utilities', '1.0.0')
('npm:nyc', '15.1.0')
('npm:@octokit/request', '6.2.8')
('npm:eslint-plugin-lodash-fp', '2.1.3')
('npm:is-binary-path', '2.1.0')
('npm:@octokit/plugin-paginate-rest', '6.1.2')
('npm:escape-string-regexp', '5.0.0')
('npm:get-port', '5.1.1')
('npm:get-stdin', '8.0.0')
('npm:@aws-sdk/util-user-agent-browser', '3.433.0')
('npm:reusify', '1.0.4')
('npm:@smithy/node-http-handler', '2.1.8')
('npm:@hapi/teamwork', '6.0.0')
('npm:hosted-git-info', '6.1.1')
('npm:find-up', '2.1.0')
('npm:shebang-regex', '1.0.0')
('npm:is-docker', '2.2.1')
('npm:querystring', '0.2.1')
('npm:@hapi/validate', '2.0.1')
('npm:log', '6.3.1')
('npm:vscode-languageserver-textdocument', '1.0.7')
('npm:json-buffer', '3.0.1')
('npm:glob', '8.1.0')
('npm:@hapi/somever', '4.1.1')
('npm:combined-stream', '1.0.8')
('npm:are-we-there-yet', '3.0.1')
('npm:@types/http-cache-semantics', '4.0.3')
('npm:@aws-sdk/core', '3.441.0')
('npm:@hapi/iron', '7.0.1')
('npm:eslint-plugin-node', '11.1.0')
('npm:is-glob', '4.0.3')
('npm:@nx/nx-linux-arm-gnueabihf', '16.10.0')
('npm:yargs-parser', '21.1.1')
('npm:@octokit/plugin-request-log', '1.0.4')
('npm:read-package-json', '6.0.4')
('npm:trim-newlines', '3.0.1')
('npm:callsites', '3.1.0')
('npm:cmd-shim', '6.0.1')
('npm:deferred', '0.7.11')
('npm:wcwidth', '1.0.1')
('npm:lru-cache', '10.0.1')
('npm:binary-extensions', '2.2.0')
('npm:eslint-plugin-import', '2.26.0')
('npm:eastasianwidth', '0.2.0')
('npm:error-ex', '1.3.2')
('npm:lodash', '^ 4.17.21')
('npm:make-fetch-happen', '11.1.1')
('npm:debug', '3.2.7')
('npm:define-data-property', '1.1.1')
('npm:ansi-styles', '5.2.0')
('npm:@npmcli/move-file', '2.0.1')
('npm:@pkgjs/parseargs', '0.11.0')
('npm:@yarnpkg/lockfile', '1.1.0')
('npm:camelcase', '5.3.1')
('npm:lodash.ismatch', '4.4.0')
('npm:hosted-git-info', '2.8.9')
('npm:shallow-clone', '3.0.1')
('npm:@types/minimist', '1.2.4')
('npm:child-process-ext', '3.0.2')
('npm:dezalgo', '1.0.3')
('npm:slash', '4.0.0')
('npm:mime-db', '1.52.0')
('npm:@octokit/rest', '19.0.11')
('npm:readdir-glob', '1.1.3')
('npm:serverless', '^ 1.41.1')
('npm:object.values', '1.1.5')
('npm:pify', '4.0.1')
('npm:@npmcli/fs', '2.1.2')
('npm:@babel/highlight', '7.18.6')
('npm:load-json-file', '6.2.0')
('npm:for-each', '0.3.3')
('npm:p-map', '5.5.0')
('npm:jsonparse', '1.3.1')
('npm:@aws-sdk/middleware-recursion-detection', '3.433.0')
('npm:spdx-correct', '3.1.1')
('npm:get-caller-file', '2.0.5')
('npm:proxy-from-env', '1.1.0')
('npm:ext-list', '2.2.2')
('npm:dir-glob', '3.0.1')
('npm:cli-truncate', '3.1.0')
('npm:fastq', '1.13.0')
('npm:qs', '6.11.0')
('npm:xmlbuilder', '11.0.1')
('npm:block-stream2', '2.1.0')
('npm:minimist-options', '4.1.0')
('npm:es-shim-unscopables', '1.0.0')
