('go:go.mongodb.org/mongo-driver', '1.12.1')
('go:cloud.google.com/go/spanner', '1.50.0')
('go:github.com/modern-go/reflect2', '1.0.2')
('go:github.com/Azure/azure-sdk-for-go', '46.1.0+incompatible')
('go:golang.org/x/sync', '0.4.0')
('go:github.com/streadway/amqp', '1.1.0')
('go:cloud.google.com/go/longrunning', '0.5.1')
('go:github.com/montanaflynn/stats', '0.0.0-20171201202039-1bf9dbcd8cbe')
('go:github.com/AlecAivazis/survey/v2', '2.2.7')
('go:github.com/gogo/protobuf', '1.3.2')
('go:github.com/Masterminds/sprig', '2.22.0+incompatible')
('go:github.com/Azure/azure-storage-queue-go', '0.0.0-20191125232315-636801874cdd')
('go:github.com/minio/minio-go/v7', '7.0.63')
('go:github.com/google/s2a-go', '0.1.7')
('go:github.com/Azure/go-autorest/logger', '0.2.0')
('go:github.com/kubemq-hub/ibmmq-sdk', '0.3.8')
('go:github.com/apache/arrow/go/v12', '12.0.0')
('go:github.com/davecgh/go-spew', '1.1.2-0.20180830191138-d8f796af33cc')
('go:github.com/Azure/go-autorest', '14.2.0+incompatible')
('go:google.golang.org/genproto', '0.0.0-20231012201019-e917dd12ba7a')
('go:github.com/armon/go-metrics', '0.4.1')
('go:go.uber.org/zap', '1.26.0')
('go:github.com/jmespath/go-jmespath', '0.4.0')
('go:cloud.google.com/go/storage', '1.33.0')
('go:github.com/minio/sha256-simd', '1.0.1')
('go:github.com/cncf/udpa/go', '0.0.0-20220112060539-c52dc94e7fbe')
('go:github.com/xdg-go/pbkdf2', '1.0.0')
('go:github.com/golang-jwt/jwt', '3.2.2+incompatible')
('go:github.com/spf13/cast', '1.5.1')
('go:github.com/Azure/azure-storage-blob-go', '0.10.0')
('go:github.com/jcmturner/aescts/v2', '2.0.0')
('go:github.com/jcmturner/gokrb5/v8', '8.4.4')
('go:github.com/pelletier/go-toml/v2', '2.1.0')
('go:github.com/fatih/color', '1.14.1')
('go:golang.org/x/xerrors', '0.0.0-20220907171357-04be3eba64a2')
('go:github.com/minio/asm2plan9s', '0.0.0-20200509001527-cdd76441f9d8')
('go:github.com/google/uuid', '1.3.1')
('go:github.com/cockroachdb/cockroach-go', '2.0.1+incompatible')
('go:github.com/aws/aws-sdk-go', '1.45.25')
('go:github.com/Azure/azure-service-bus-go', '0.10.3')
('go:github.com/hashicorp/serf', '0.10.1')
('go:github.com/Shopify/sarama', '1.33.0')
('go:github.com/hashicorp/go-hclog', '1.5.0')
('go:github.com/google/flatbuffers', '2.0.8+incompatible')
('go:cloud.google.com/go/bigtable', '1.20.0')
('go:github.com/rs/xid', '1.5.0')
('go:github.com/bradfitz/gomemcache', '0.0.0-20230905024940-24af94b03874')
('go:github.com/magiconair/properties', '1.8.7')
('go:github.com/xdg-go/scram', '1.1.2')
('go:github.com/olivere/elastic/v7', '7.0.32')
('go:github.com/xdg-go/stringprep', '1.0.4')
('go:github.com/prometheus/common', '0.44.0')
('go:golang.org/x/mod', '0.12.0')
('go:github.com/hashicorp/hcl', '1.0.0')
('go:google.golang.org/appengine', '1.6.7')
('go:golang.org/x/crypto', '0.14.0')
('go:github.com/nats-io/nuid', '1.0.1')
('go:github.com/minio/md5-simd', '1.1.2')
('go:github.com/aerospike/aerospike-client-go', '4.5.2+incompatible')
('go:gopkg.in/yaml.v2', '2.4.0')
('go:github.com/mailru/easyjson', '0.7.7')
('go:gopkg.in/cenkalti/backoff.v2', '2.2.1')
('go:github.com/spf13/afero', '1.10.0')
('go:github.com/josharian/intern', '1.0.0')
('go:github.com/mgutz/ansi', '0.0.0-20170206155736-9520e82c474b')
('go:github.com/minio/c2goasm', '0.0.0-20190812172519-36a3d3bbc4f3')
('go:github.com/GoogleCloudPlatform/cloudsql-proxy', '1.33.11')
('go:github.com/eclipse/paho.mqtt.golang', '1.4.3')
('go:github.com/couchbase/gocbcore/v10', '10.2.8')
('go:github.com/apache/thrift', '0.16.0')
('go:github.com/rcrowley/go-metrics', '0.0.0-20201227073835-cf1acfcdf475')
('go:github.com/zeebo/xxh3', '1.0.2')
('go:golang.org/x/time', '0.3.0')
('go:github.com/googleapis/gax-go/v2', '2.12.0')
('go:github.com/gorilla/websocket', '1.5.0')
('go:github.com/Azure/go-autorest/autorest/to', '0.4.0')
('go:golang.org/x/tools', '0.13.0')
('go:github.com/nats-io/nats-server/v2', '2.8.2')
('go:github.com/go-stomp/stomp', '2.1.4+incompatible')
('go:google.golang.org/genproto/googleapis/rpc', '0.0.0-20231009173412-8bfb1ae86b6c')
('go:github.com/Azure/azure-pipeline-go', '0.2.3')
('go:github.com/hashicorp/consul/api', '1.25.1')
('go:google.golang.org/genproto/googleapis/api', '0.0.0-20231002182017-d307bd883b97')
('go:github.com/klauspost/cpuid/v2', '2.2.5')
('go:golang.org/x/text', '0.13.0')
('go:github.com/googleapis/enterprise-certificate-proxy', '0.3.1')
('go:github.com/prometheus/client_golang', '1.17.0')
('go:github.com/kubemq-io/protobuf', '1.3.1')
('go:github.com/Azure/go-autorest/tracing', '0.6.0')
('go:gopkg.in/rethinkdb/rethinkdb-go.v6', '6.2.2')
('go:github.com/denisenkom/go-mssqldb', '0.12.3')
('go:github.com/beorn7/perks', '1.0.1')
('go:github.com/mitchellh/mapstructure', '1.5.0')
