('maven:org.glassfish.hk2:hk2-locator', '2.5.0-b63')
('maven:com.google.oauth-client:google-oauth-client', '1.25.0')
('npm:sass-loader', '^ 4.0.0')
('maven:io.dropwizard.metrics:metrics-graphite', '')
('maven:jakarta.xml.bind:jakarta.xml.bind-api', '')
('npm:react-json-tree', '^ 0.8.0')
('maven:io.dropwizard:dropwizard-assets', '')
('maven:com.squarespace.jersey2-guice:jersey2-guice-impl', '')
('npm:redux-logger', '^ 2.6.1')
('maven:com.google.apis:google-api-services-compute', 'v1-rev214-1.25.0')
('npm:react-bootstrap-datetimepicker', '0.0.22')
('maven:org.glassfish.jersey.core:jersey-server', '')
('npm:underscore', '~ 1.8.0')
('maven:com.google.code.findbugs:jsr305', '3.0.2')
('maven:jakarta.xml.bind:jakarta.xml.bind-api', '2.3.2')
('npm:babel-cli', '^ 6.18.0')
('maven:com.amazonaws:aws-java-sdk-elasticloadbalancingv2', '')
('npm:humanize-plus', '^ 1.8.1')
('npm:resolve-url-loader', '^ 1.6.0')
('maven:org.jolokia:docker-maven-plugin', '')
('npm:react-waypoint', '^ 2.0.3')
('npm:extend', '^ 3.0.0')
('maven:com.flipkart.zjsonpatch:zjsonpatch', '0.4.9')
('maven:com.hubspot:HorizonNing', '0.1.2')
('maven:com.hubspot:BaragonUI', '0.10.0-SNAPSHOT')
('npm:select2', '~ 3.5.1')
('maven:com.amazonaws:aws-java-sdk-elasticloadbalancingv2', '1.11.497')
('maven:com.fasterxml.jackson.core:jackson-core', '')
('npm:uuid', '^ 3.0.0')
('npm:babel-preset-es2015', '^ 6.9.0')
('npm:react-interval', '^ 1.2.1')
('maven:ch.qos.logback:logback-classic', '')
('maven:com.github.jknack:handlebars', '')
('npm:url-loader', '^ 0.5.7')
('maven:org.apache.commons:commons-exec', '')
('npm:react', '^ 15.1.0')
('maven:org.glassfish.hk2:hk2-utils', '2.5.0-b63')
('npm:webpack-hot-middleware', '^ 2.12.1')
('npm:jquery', '^ 3.0.0')
