('maven:org.eclipse.kapua:kapua-datastore-client-api', '')
('maven:org.junit.jupiter:junit-jupiter-engine', '5.9.2')
('maven:org.webjars:swagger-ui', '5.3.1')
('maven:org.glassfish.jersey.media:jersey-media-sse', '2.38')
('maven:org.eclipse.kapua:kapua-qa-integration', '2.1.0-SNAPSHOT')
('maven:org.glassfish.jersey.media:jersey-media-json-jackson', '')
('maven:org.eclipse.kapua:kapua-simulator-kura', '')
('maven:org.eclipse.kapua:kapua-translator-api', '')
('maven:io.cucumber:cucumber-junit', '')
('maven:org.hibernate:hibernate-jpamodelgen', '5.5.4')
('maven:org.eclipse.jetty:jetty-xml', '9.4.53.v20231009')
('maven:com.spotify:docker-client', '8.15.1')
('maven:io.netty:netty-example', '4.1.100')
('maven:org.eclipse.kapua:kapua-client-gateway-provider-paho', '2.1.0-SNAPSHOT')
('maven:org.eclipse.m2e:lifecycle-mapping', '')
('maven:org.eclipse.kapua:kapua-openid-api', '')
('maven:com.sun.xml.bind:jaxb-impl', '2.3.3')
('maven:org.springframework:spring-core', '5.3.23')
('maven:org.eclipse.kapua:kapua-security-certificate-internal', '2.1.0-SNAPSHOT')
('maven:org.eclipse.jetty.websocket:websocket-api', '9.4.53.v20231009')
('maven:org.eclipse.kapua:kapua-console-module-job', '2.1.0-SNAPSHOT')
('maven:org.eclipse.kapua:kapua-service-commons-utils-internal', '')
('maven:io.netty:netty-handler-proxy', '4.1.100')
('maven:org.eclipse.kapua:kapua-security-registration-api', '')
('maven:com.ning:compress-lzf', '1.0.3')
('actions:eclipse/dash-licenses/.github/workflows/mavenLicenseCheck.yml', 'master')
('maven:org.eclipse.kapua:kapua-translator-test-steps', '2.1.0-SNAPSHOT')
('maven:org.apache.commons:commons-imaging', '')
('maven:org.eclipse.kapua:kapua-service-elasticsearch-client-rest', '2.1.0-SNAPSHOT')
('maven:io.netty:netty-transport-udt', '4.1.100')
('maven:com.google.zxing:core', '3.4.1')
('maven:org.springframework.boot:spring-boot-starter-web', '2.5.14')
('maven:org.glassfish.jersey.containers:jersey-container-servlet-core', '2.38')
('maven:org.elasticsearch.client:elasticsearch-rest-client', '7.8.1')
('maven:com.fasterxml.jackson.datatype:jackson-datatype-jdk8', '2.15.2')
('maven:org.eclipse.kapua:kapua-console-module-authentication', '2.1.0-SNAPSHOT')
('maven:org.eclipse.kapua:kapua-consumer-lifecycle', '')
('maven:org.apache.camel.springboot:camel-spring-boot-xml-starter', '3.21.0')
('maven:org.eclipse.kapua:kapua-console-core', '2.1.0-SNAPSHOT')
('maven:org.eclipse.kapua:kapua-translator-kura-jms', '2.1.0-SNAPSHOT')
('maven:org.eclipse.kapua:kapua-endpoint-test-steps', '')
('maven:org.springframework.boot:spring-boot-starter-actuator', '')
('maven:org.apache.activemq:artemis-server', '')
('maven:org.eclipse.kapua:kapua-job-internal', '2.1.0-SNAPSHOT')
('maven:org.eclipse.kapua:kapua-commons-rest-model', '2.1.0-SNAPSHOT')
('maven:org.eclipse.kapua:kapua-device-registry-api', '')
('maven:org.eclipse.kapua:kapua-device-management-configuration-store-dummy', '')
('actions:actions/setup-java', '4.*.*')
('maven:org.apache.camel.springboot:camel-jms-starter', '')
('maven:org.apache.logging.log4j:log4j-to-slf4j', '2.17.1')
('maven:org.eclipse.kapua:kapua-client-gateway-provider-fuse', '2.1.0-SNAPSHOT')
('maven:javax.cache:cache-api', '1.1.1')
('maven:org.eclipse.kapua:kapua-device-management-configuration-internal', '')
('maven:org.eclipse.kapua:kapua-translator-kapua-kura', '2.1.0-SNAPSHOT')
('maven:org.eclipse.kapua:kapua-device-management-bundle-internal', '2.1.0-SNAPSHOT')
('maven:com.fasterxml.jackson.core:jackson-core', '')
('maven:org.eclipse.kapua:kapua-datastore-api', '')
('maven:org.apache.felix:maven-bundle-plugin', '5.1.8')
('maven:org.eclipse.kapua:kapua-device-commons', '2.1.0-SNAPSHOT')
('maven:org.eclipse.kapua:kapua-job-engine-app-resources', '2.1.0-SNAPSHOT')
('maven:org.eclipse.kapua:kapua-device-registry-test', '')
('maven:org.mapstruct:mapstruct', '')
('maven:com.google.code.gson:gson', '2.10')
('maven:org.javassist:javassist', '3.26.0-GA')
('maven:de.dentrassi.elasticsearch:log4j2-mock', '0.0.2')
('maven:org.eclipse.kapua:kapua-console-module-data', '2.1.0-SNAPSHOT')
('maven:commons-beanutils:commons-beanutils', '')
('maven:javax.validation:validation-api', '2.0.1')
('maven:org.springframework:spring-tx', '5.3.23')
('maven:org.eclipse.kapua:kapua-tag-internal', '2.1.0-SNAPSHOT')
('maven:org.apache.maven.plugins:maven-failsafe-plugin', '2.14.1')
('maven:org.eclipse.kapua:kapua-console-module-account', '')
('maven:org.eclipse.kapua:kapua-device-management-command-internal', '')
('maven:org.glassfish.jersey.bundles:jaxrs-ri', '')
('maven:io.netty:netty-codec-mqtt', '4.1.100')
('maven:org.elasticsearch.client:elasticsearch-rest-high-level-client', '7.8.1')
('maven:org.glassfish.jersey.media:jersey-media-json-binding', '2.38')
('maven:org.eclipse.kapua:kapua-console-module-certificate', '')
