('npm:@babel/helper-member-expression-to-functions', '7.17.7')
('npm:@babel/parser', '7.23.0')
('npm:@svgr/babel-plugin-remove-jsx-empty-expression', '5.0.1')
('npm:loose-envify', '1.4.0')
('npm:jest-circus', '27.5.1')
('npm:@jest/test-result', '27.5.1')
('npm:tailwindcss', '3.0.24')
('npm:source-map', '0.8.0-beta.0')
('npm:p-locate', '2.0.0')
('npm:@jest/reporters', '29.6.2')
('npm:postcss-color-hex-alpha', '8.0.3')
('npm:postcss-discard-overridden', '5.1.0')
('npm:delayed-stream', '1.0.0')
('npm:rc-slider', '10.0.1')
('npm:@webassemblyjs/floating-point-hex-parser', '1.11.1')
('npm:jest-pnp-resolver', '1.2.2')
('npm:object-assign', '4.1.1')
('npm:postcss-normalize-unicode', '5.1.0')
('npm:postcss-minify-gradients', '5.1.1')
('npm:chalk', '3.0.0')
('npm:@babel/plugin-syntax-flow', '7.16.7')
('npm:babel-plugin-polyfill-corejs2', '0.3.1')
('npm:p-locate', '5.0.0')
('npm:@jest/environment', '27.5.1')
('npm:merge-stream', '2.0.0')
('npm:vary', '1.1.2')
('npm:@csstools/postcss-ic-unit', '1.0.0')
('npm:jest-util', '27.5.1')
('npm:wbuf', '1.7.3')
('npm:ci-info', '3.3.0')
('npm:@rollup/plugin-babel', '5.3.1')
('npm:@babel/plugin-transform-template-literals', '7.16.7')
('npm:@babel/helper-module-transforms', '7.17.7')
('npm:functions-have-names', '1.2.3')
('npm:recursive-readdir', '2.2.3')
('npm:utila', '0.4.0')
('npm:@csstools/postcss-hwb-function', '1.0.0')
('npm:import-local', '3.1.0')
('npm:connect-history-api-fallback', '1.6.0')
('npm:rc-dropdown', '4.0.1')
('npm:path-key', '3.1.1')
('npm:@babel/helper-simple-access', '7.17.7')
('npm:@types/http-proxy', '1.17.14')
('npm:find-up', '5.0.0')
('npm:eslint-config-prettier', '9.1.0')
('npm:co', '4.6.0')
('npm:global-prefix', '3.0.0')
('npm:file-loader', '6.2.0')
('npm:is-string', '1.0.7')
('npm:jest-message-util', '29.6.2')
('npm:ejs', '3.1.10')
('npm:@csstools/postcss-color-function', '1.1.0')
('npm:find-cache-dir', '3.3.2')
('npm:ajv-keywords', '3.5.2')
('npm:@svgr/babel-plugin-transform-svg-component', '5.5.0')
('npm:inherits', '2.0.3')
('npm:rc-checkbox', '3.0.1')
('npm:eslint-visitor-keys', '3.3.0')
('npm:fast-levenshtein', '2.0.6')
