('rust:rand_distr', '0.3.0')
('npm:@sigstore/sign', '1.0.0')
('npm:replace-ext', '1.0.1')
('npm:@tanstack/react-virtual', '3.1.3')
('npm:@next/swc-win32-ia32-msvc', '14.1.4')
('npm:@formatjs/fast-memoize', '2.2.0')
('npm:@babel/plugin-transform-unicode-sets-regex', '7.24.1')
('npm:flat-cache', '3.1.1')
('rust:serde', '>= 1.0.103,< 2.0.0')
('rust:dtoa-short', '0.3.4')
('rust:pretty_env_logger', '>= 0.4.0,< 0.5.0')
('rust:redox_users', '0.4.4')
('npm:case-sensitive-paths-webpack-plugin', '2.4.0')
('rust:libm', '0.2.7')
('rust:castaway', '0.1.2')
('npm:stylehacks', '5.1.1')
('npm:ansi-html-community', '0.0.8')
('npm:call-me-maybe', '1.0.2')
('npm:@tsconfig/node12', '1.0.11')
('npm:esrecurse', '4.3.0')
('npm:@rollup/pluginutils', '5.1.0')
('npm:eslint-scope', '7.2.2')
('npm:punycode', '2.3.1')
('npm:has-property-descriptors', '1.0.0')
('npm:@babel/plugin-transform-runtime', '7.18.10')
('npm:@eslint-community/eslint-utils', '4.4.0')
('npm:convert-source-map', '1.8.0')
('npm:cliui', '7.0.4')
('npm:p-try', '1.0.0')
('npm:ext', '1.7.0')
('npm:eslint', '^ 8.10.0')
('rust:prost', '0.9.0')
('npm:axios-mock-adapter', '1.21.2')
('rust:system-configuration', '0.5.1')
('rust:basic-toml', '0.1.8')
('npm:envinfo', '7.12.0')
('npm:string-to-color', '2.2.2')
('npm:@mui/utils', '5.16.1')
('rust:rustls', '0.19.1')
('npm:@emotion/cache', '11.11.0')
('rust:parking_lot', '0.11.2')
('rust:gtk-sys', '0.15.3')
('npm:favicons-webpack-plugin', '^ 5.0.2')
('rust:loom', '0.5.6')
('npm:d3-zoom', '2.0.0')
('npm:which-collection', '1.0.1')
('npm:@cosmjs/stargate', '0.32.3')
('rust:winnow', '0.6.8')
('npm:@babel/helper-validator-identifier', '7.22.20')
('npm:es-set-tostringtag', '2.0.3')
('npm:minipass', '7.0.4')
('npm:@octokit/plugin-paginate-rest', '9.2.1')
('npm:fast-glob', '3.2.11')
('npm:jest-runtime', '29.7.0')
('rust:ciborium', '0.2.2')
('npm:safe-regex-test', '1.0.0')
('npm:react-merge-refs', '1.1.0')
('npm:react-hook-form', '7.20.1')
('npm:babel-jest', '28.1.3')
('npm:colorette', '2.0.20')
('npm:es-abstract', '1.19.1')
('rust:goblin', '0.6.1')
('actions:rlespinasse/github-slug-action', '3.x')
('npm:commander', '8.3.0')
('npm:array-union', '2.1.0')
('npm:@parcel/watcher', '2.4.1')
('npm:eslint-module-utils', '2.8.1')
('npm:terser-webpack-plugin', '5.3.10')
('npm:min-indent', '1.0.1')
('npm:@parcel/events', '2.4.0')
('rust:autocfg', '1.1.0')
('npm:webpack-merge', '^ 5.8.0')
('npm:babel-plugin-polyfill-corejs3', '0.1.7')
('rust:parking_lot', '0.12.2')
('npm:is-ci', '2.0.0')
('npm:react-identicons', '1.2.5')
('npm:@hutson/parse-repository-url', '3.0.2')
('npm:copy-webpack-plugin', '11.0.0')
('npm:@react-aria/radio', '3.10.2')
('npm:supports-color', '5.5.0')
('npm:typed-array-buffer', '1.0.0')
('pip:asyncio', '3.4.3')
('npm:zxcvbn', '4.4.2')
('npm:@protobufjs/fetch', '1.1.0')
('npm:ospec', '3.1.0')
('rust:tokio-native-tls', '0.3.1')
('npm:set-function-name', '2.0.1')
('rust:anyhow', '1.0.83')
('npm:@types/connect', '3.4.38')
('npm:es-get-iterator', '1.1.3')
('rust:wasi', '0.11.0+wasi-snapshot-preview1')
('rust:windows_aarch64_msvc', '0.48.5')
('npm:libsodium-wrappers', '0.7.9')
('npm:postcss-normalize-string', '5.1.0')
('npm:cp-file', '7.0.0')
('npm:strip-indent', '1.0.1')
('rust:crc32fast', '1.3.2')
('rust:cargo_metadata', '0.18.1')
('npm:sharp', '0.33.3')
('npm:retry', '0.12.0')
('npm:component-emitter', '1.3.1')
('npm:aria-query', '5.0.0')
('npm:autoprefixer', '9.8.8')
('npm:stackframe', '1.3.4')
('npm:unherit', '1.1.3')
('rust:gtk', '0.15.5')
('npm:@jest/test-result', '27.5.1')
('npm:ora', '5.4.1')
('npm:conventional-commits-parser', '4.0.0')
('npm:webpack-filter-warnings-plugin', '1.2.1')
('npm:read-pkg', '5.2.0')
('npm:p-locate', '2.0.0')
('npm:@rushstack/eslint-patch', '1.10.2')
('npm:util', '0.12.5')
('npm:lodash.clonedeep', '4.5.0')
('npm:@types/node', '16.11.9')
('npm:micromark-util-encode', '2.0.0')
('npm:@mdx-js/util', '1.6.22')
('rust:ctor', '0.1.26')
('npm:@react-types/searchfield', '3.5.3')
('npm:@mui/base', '5.0.0-beta.40')
('rust:clap_complete_fig', '4.3.1')
('npm:@typescript-eslint/experimental-utils', '5.62.0')
('npm:typescript', '4.5.5')
('npm:snapdragon', '0.8.2')
('npm:msgpackr', '1.10.1')
('npm:@babel/highlight', '7.24.2')
('npm:@storybook/channel-postmessage', '6.5.16')
('rust:anstyle-parse', '0.2.3')
('rust:regex-syntax', '0.8.2')
('npm:functions-have-names', '1.2.3')
('npm:trough', '2.1.0')
('npm:import-local', '3.1.0')
('rust:console-subscriber', '0.1.10')
('npm:connect-history-api-fallback', '1.6.0')
('npm:chardet', '0.4.2')
('npm:copy-webpack-plugin', '^ 11.0.0')
('npm:parse-ms', '2.1.0')
