('pip:flask-caching', '1.10.1')
('pip:pathlib2', '2.3.7.post1')
('pip:txaio', '23.1.1')
('pip:protobuf', '4.24.4')
('pip:pytest', '6.1.2')
('pip:celery', '5.4.0')
('pip:pyrsistent', '0.16.1')
('pip:backports-functools-lru-cache', '1.6.5')
('actions:actions/upload-artifact', '4.*.*')
('rust:unicode-ident', '1.0.12')
('pip:langchain', '0.0.354')
('pip:charset-normalizer', '2.1.1')
('pip:fastapi-cli', '0.0.4')
('pip:hypothesis', '6.31.6')
('pip:importlib-metadata', '4.13.0')
('pip:pandas', '2.1.4')
('pip:tempora', '1.14.1')
('pip:typing-extensions', '')
('pip:jaraco-collections', '4.2.0')
('pip:elasticsearch', '8.11.1')
('pip:sentencepiece', '0.2.0')
('pip:pysqlite3-binary', '0.5.2.post3')
('pip:greenlet', '0.4.14')
('pip:asgiref', '3.0.0')
('pip:mysql-connector-python', '8.0.5')
('pip:click-repl', '0.3.0')
('pip:ruamel-yaml', '0.17.32')
('pip:deprecated', '1.2.14')
('pip:waitress', '2.0.0')
('pip:protobuf', '4.21.12')
('pip:click-plugins', '1.1.1')
('pip:pathable', '0.4.3')
('pip:opentelemetry-instrumentation-flask', '0.32b0')
('pip:s3transfer', '0.10.1')
('pip:rsa', '4.7')
('pip:djangorestframework', '3.13.1')
('pip:regex', '2023.12.25')
('pip:sniffio', '1.3.1')
('pip:flask', '1.1.4')
('pip:moto', '1.3.16')
('pip:ujson', '5.9.0')
('pip:pydantic', '2.7.4')
('pip:vertica-python', '0.7.4')
('pip:werkzeug', '3.0.3')
('pip:referencing', '0.31.1')
('pip:numexpr', '2.10.0')
('pip:coverage', '7.4.0')
('pip:redis', '4.3.5')
('pip:opentelemetry-semantic-conventions', '0.37b0')
('pip:flask', '3.0.2')
('pip:tornado', '6.2')
('pip:mako', '1.3.0')
('pip:blinker', '1.8.2')
('pip:uvloop', '0.18.0')
('pip:sanic', '20.12.7')
('pip:rich', '13.6.0')
('pip:redis', '2.10.6')
('pip:mongoengine', '0.22.0')
('pip:bytecode', '0.15.1')
('pip:pydantic-core', '2.14.6')
('pip:kombu', '5.1.0')
('pip:python-consul', '1.1.0')
('pip:webhelpers', '1.3')
('pip:itsdangerous', '2.0.1')
('pip:boto3', '1.34.126')
('pip:django-hosts', '4.0')
('pip:langchain-core', '0.1.5')
('pip:azure-core', '1.29.6')
('pip:types-urllib3', '1.26.25.14')
('pip:urllib3', '2.2.0')
('actions:docker/build-push-action', '4.*.*')
('pip:coverage', '7.5.1')
('pip:requests', '2.27.1')
('pip:graphql-core', '3.2.3')
('pip:pinecone-client', '3.2.2')
('pip:more-itertools', '5.0.0')
('pip:pytest-mock', '2.0.0')
('pip:fastapi', '0.64.0')
('pip:opentelemetry-instrumentation', '0.22b0')
('pip:structlog', '22.3.0')
('pip:pydantic-core', '2.18.4')
('pip:urllib3', '1.26.16')
('pip:azure-common', '1.1.28')
('pip:tiktoken', '0.7.0')
('pip:platformdirs', '3.11.0')
('pip:reno', '4.0.0')
('pip:coverage', '7.3.2')
('pip:scikit-learn', '1.3.2')
('pip:orjson', '3.10.3')
('pip:urllib3', '1.25.8')
('rust:proc-macro2', '1.0.82')
('pip:elastic-transport', '8.4.0')
('pip:typing-extensions', '4.9.0')
('pip:certifi', '2023.11.17')
