('npm:convert-source-map', '1.8.0')
('npm:jest-regex-util', '25.2.6')
('npm:@chakra-ui/css-reset', '1.1.1')
('npm:@chakra-ui/icons', '1.0.17')
('npm:cliui', '7.0.4')
('npm:@types/estree', '0.0.50')
('npm:react-ace', '9.2.1')
('npm:p-try', '1.0.0')
('npm:html-webpack-plugin', '4.0.0-beta.11')
('npm:@babel/plugin-transform-modules-commonjs', '7.17.9')
('npm:@babel/plugin-transform-flow-strip-types', '7.12.1')
('npm:ansi-align', '2.0.0')
('npm:@types/istanbul-reports', '3.0.0')
('npm:@typescript-eslint/visitor-keys', '4.6.0')
('npm:tooltip.js', '1.3.3')
('npm:@babel/plugin-transform-function-name', '7.10.1')
('rubygems:jekyll-commonmark', '1.3.1')
('npm:which-collection', '1.0.1')
('npm:highlight.js', '9.13.1')
('npm:@babel/helper-remap-async-to-generator', '7.12.1')
('npm:@babel/plugin-transform-spread', '7.14.6')
('npm:fast-glob', '3.2.11')
('npm:create-emotion', '10.0.27')
('npm:es-abstract', '1.20.0')
('npm:es-abstract', '1.18.0-next.1')
('npm:css-tree', '1.0.0-alpha.37')
('npm:@formatjs/fast-memoize', '1.2.1')
('npm:detect-port', '1.3.0')
('npm:@babel/plugin-transform-react-pure-annotations', '7.16.7')
('npm:levn', '0.3.0')
('npm:array-union', '2.1.0')
('npm:@babel/plugin-transform-template-literals', '7.14.5')
('npm:min-indent', '1.0.1')
('npm:@types/react-bootstrap', '0.32.29')
('npm:is-ci', '2.0.0')
('npm:file-loader', '6.0.0')
('npm:@types/papaparse', '5.2.0')
('npm:caniuse-lite', '1.0.30001208')
('npm:supports-color', '5.5.0')
('npm:replace-in-file', '^ 4.1.0')
('npm:wrap-ansi', '3.0.1')
('npm:@chakra-ui/hooks', '1.5.4')
('npm:@babel/helper-replace-supers', '7.12.1')
('npm:tough-cookie', '4.0.0')
('npm:@formio/bootstrap3', '2.6.8')
('npm:d3-polygon', '1.0.6')
('npm:classnames', '2.3.1')
('npm:@babel/plugin-transform-object-super', '7.12.1')
('npm:@babel/preset-react', '7.14.5')
('npm:cp-file', '7.0.0')
('npm:strip-indent', '1.0.1')
('npm:react-fast-compare', '3.2.0')
('npm:retry', '0.12.0')
('npm:make-plural', '4.3.0')
('npm:autoprefixer', '9.8.8')
('npm:@babel/helper-member-expression-to-functions', '7.17.7')
('npm:unherit', '1.1.3')
('npm:jest-each', '24.9.0')
('npm:entities', '1.1.2')
('npm:webpack-filter-warnings-plugin', '1.2.1')
('npm:p-locate', '2.0.0')
('npm:read-pkg', '5.2.0')
('npm:@chakra-ui/textarea', '1.2.1')
('npm:indefinite-observable', '2.0.1')
('npm:jest-runner', '26.6.1')
('npm:@material-ui/core', '4.11.2')
('npm:domutils', '2.6.0')
('npm:lodash.clonedeep', '4.5.0')
('npm:@mdx-js/util', '1.6.22')
('npm:get-nonce', '1.0.1')
('npm:@babel/helper-explode-assignable-expression', '7.11.4')
('npm:is-plain-object', '3.0.1')
('npm:@jest/fake-timers', '27.1.0')
('npm:@babel/parser', '7.15.5')
('npm:@babel/parser', '7.12.7')
('npm:electron-to-chromium', '1.3.830')
('npm:@formatjs/ecma402-abstract', '1.11.4')
('npm:@storybook/addon-actions', '5.3.21')
('npm:@chakra-ui/radio', '1.4.4')
('npm:redux-dynamic-modules-thunk', '5.2.3')
('npm:@typescript-eslint/types', '3.10.1')
('npm:snapdragon', '0.8.2')
('npm:express', '4.18.1')
('npm:expect-puppeteer', '4.1.1')
('npm:@chakra-ui/theme', '1.12.1')
('npm:babel-plugin-minify-mangle-names', '0.5.0')
('npm:react-redux', '7.2.0')
('npm:functions-have-names', '1.2.3')
('npm:react-remove-scroll-bar', '2.3.1')
('npm:import-local', '3.1.0')
('npm:@storybook/react', '6.1.11')
('npm:connect-history-api-fallback', '1.6.0')
('npm:redux', '4.0.5')
('npm:selection-is-backward', '1.0.0')
('npm:co', '4.6.0')
('npm:@fortawesome/fontawesome-common-types', '0.2.36')
('npm:@chakra-ui/color-mode', '1.3.3')
('npm:fbjs', '0.8.17')
('npm:domhandler', '4.0.0')
('npm:@typescript-eslint/types', '4.6.0')
('npm:@typescript-eslint/visitor-keys', '3.6.0')
('npm:jest-watcher', '26.6.1')
('npm:jss-plugin-camel-case', '10.5.0')
('npm:formiojs', '4.9.26')
('npm:@chakra-ui/color-mode', '1.3.1')
('npm:damerau-levenshtein', '1.0.7')
('npm:constants-browserify', '1.0.0')
('npm:micromark', '2.11.4')
('npm:body-parser', '1.19.0')
('npm:@webassemblyjs/wasm-parser', '1.8.5')
('npm:esm', '3.2.25')
('npm:eslint', '7.12.0')
('npm:@chakra-ui/pin-input', '1.7.2')
('npm:react-remove-scroll-bar', '2.2.0')
('npm:define-properties', '1.1.4')
('npm:es-to-primitive', '1.2.1')
('npm:css-selector-tokenizer', '0.7.2')
('npm:bootstrap', '4.5.3')
('npm:jsonfile', '6.1.0')
('npm:regenerator-runtime', '0.13.7')
('npm:@material-ui/utils', '4.11.3')
('npm:workbox-routing', '4.3.1')
('npm:@fortawesome/free-brands-svg-icons', '5.15.4')
('npm:postcss-normalize-positions', '4.0.2')
('npm:react-app-rewired', '2.1.6')
('npm:text-table', '0.2.0')
('npm:loader-runner', '4.2.0')
('npm:html-encoding-sniffer', '1.0.2')
('npm:make-dir', '1.3.0')
('rubygems:commonmarker', '0.17.13')
('npm:webpack-config-single-spa-react-ts', '4.0.1')
('npm:optimize-css-assets-webpack-plugin', '5.0.4')
('npm:finalhandler', '1.2.0')
('npm:harmony-reflect', '1.6.1')
('npm:array-unique', '0.3.2')
('npm:deep-object-diff', '1.1.0')
('npm:@types/clean-css', '4.2.2')
('npm:@types/react-transition-group', '^ 4.4.0')
('npm:dangerously-set-html-content', '1.0.9')
('npm:@babel/plugin-syntax-optional-chaining', '7.8.3')
('npm:regexpu-core', '4.7.1')
('npm:uuid', '8.3.2')
('npm:jss-plugin-default-unit', '10.9.0')
('npm:@babel/helper-compilation-targets', '7.17.10')
('npm:babel-plugin-jest-hoist', '27.0.6')
('npm:jest-runner', '26.6.3')
('npm:strip-ansi', '6.0.1')
('npm:typedarray-to-buffer', '3.1.5')
('npm:@babel/helper-compilation-targets', '7.15.4')
('npm:posix-character-classes', '0.1.1')
('npm:@typescript-eslint/typescript-estree', '4.33.0')
('npm:postcss-svgo', '4.0.3')
('npm:buffer', '5.7.1')
('npm:react-test-renderer', '16.13.1')
('npm:camelcase-keys', '2.1.0')
('npm:@sentry/hub', '6.19.6')
('rubygems:jekyll-sass-converter', '1.5.2')
('npm:magic-string', '0.25.7')
('npm:enzyme-shallow-equal', '1.0.4')
('npm:regenerator-transform', '0.14.5')
('npm:@babel/plugin-transform-modules-umd', '7.10.4')
('npm:@formatjs/intl-displaynames', '4.0.1')
('npm:@types/node', '16.7.10')
('npm:crypto-browserify', '3.12.0')
('npm:base64-js', '1.5.1')
('npm:@types/http-proxy', '1.17.7')
('npm:is-date-object', '1.0.2')
('npm:postcss-selector-not', '4.0.0')
('npm:events', '3.1.0')
('npm:core-js', '3.6.5')
('npm:@storybook/addon-storysource', '5.3.21')
('npm:shebang-command', '1.2.0')
('npm:pug-error', '2.0.0')
('npm:bytes', '3.0.0')
('npm:html-comment-regex', '1.1.2')
('npm:@iconscout/react-unicons', '1.1.4')
('npm:is-potential-custom-element-name', '1.0.1')
('actions:docker/login-action', '1.*.*')
('npm:concurrently', '4.1.0')
('npm:store2', '2.12.0')
('npm:jest-leak-detector', '25.5.0')
('npm:jest-canvas-mock', '2.1.2')
('npm:is-number-object', '1.0.4')
('npm:terminal-link', '2.1.1')
