('pip:zope-dublincore', '3.7.0')
('pip:plone-app-registry', '1.2.5')
('pip:zope-interface', '3.6.7')
('pip:zope-proxy', '3.6.1')
('pip:webencodings', '0.5.1')
('pip:idna', '2.6')
('pip:vs-genericsetup-ldap', '1.2')
('pip:plone-app-vocabularies', '2.1.25')
('pip:plone-app-layout', '2.3.20')
('pip:zope-error', '3.7.4')
('pip:products-externalmethod', '2.13.1')
('pip:zope-browsermenu', '3.9.1')
('pip:plone-schema', '1.2.1')
('pip:five-pt', '2.2.5')
('pip:docutils', '0.12')
('pip:zdaemon', '2.0.7')
('pip:products-zcatalog', '3.0.2')
('pip:plone-app-querystring', '1.2.13')
('pip:z3c-objpath', '1.1')
('pip:plone-protect', '3.1.2')
('pip:products-pythonscripts', '2.13.2')
('pip:collective-elephantvocabulary', '0.2.5')
('pip:cffi', '1.15.1')
('pip:products-temporaryfolder', '3.0')
('pip:imsvdex', '1.1')
('pip:products-genericsetup', '1.8.11')
('pip:plone-caching', '1.0.1')
('pip:zope-pagetemplate', '3.6.3')
('pip:ftw-tokenauth', '1.2.0')
('pip:zope-session', '3.9.5')
('pip:plone-app-lockingbehavior', '1.0.7')
('pip:products-resourceregistries', '2.2.13')
('pip:plone-autoform', '1.6.2')
('pip:products-cmfplone', '4.3.20')
('pip:decorator', '3.4.2')
('pip:collective-monkeypatcher', '1.2.1')
('pip:plone-formwidget-contenttree', '1.2.0')
('pip:zopeundo', '2.12.0')
('pip:zope-testrunner', '4.8.1')
('pip:products-cmfactionicons', '2.1.3')
('pip:zope-site', '3.9.2')
('pip:zope-exceptions', '3.6.2')
('pip:ftw-dictstorage', '1.2')
('pip:collective-blueprint-usersandgroups', '0.2.0')
('pip:missing', '2.13.1')
('pip:plone-supermodel', '1.2.7')
('pip:html5lib', '1.1')
('pip:ftw-mobilenavigation', '1.4.8')
('pip:ftw-testbrowser', '1.30.1')
('pip:plone-app-viewletmanager', '2.0.12')
('pip:ftw-showroom', '1.5.1')
('pip:collective-indexing', '2.0')
('pip:products-pluginregistry', '1.4.1')
('pip:products-mimetools', '2.13.0')
('pip:scandir', '1.10.0')
('pip:plone-formwidget-namedfile', '1.0.15')
('pip:products-externaleditor', '1.1.3')
('pip:zope-copypastemove', '3.7.0')
('actions:docker/build-push-action', '3')
('pip:products-validation', '2.0.2')
('pip:zope-keyreference', '3.6.4')
('pip:products-placelesstranslationservice', '2.0.7')
('pip:zope-componentvocabulary', '1.0.1')
('pip:zexceptions', '2.13.0')
('pip:products-pluggableauthservice', '1.11.3')
('pip:datetime', '3.0.3')
('pip:mock', '1.0.1')
('pip:plone', '4.3.20')
('pip:transaction', '1.1.1')
('pip:products-ploneldap', '1.2')
('pip:z3c-autoinclude', '0.4.1')
('pip:babel', '1.3')
('pip:plone-app-search', '1.1.12')
('pip:zope-tales', '3.5.3')
('pip:collective-autopermission', '1.0b2')
('pip:ftw-inflator', '1.8.1')
('pip:ftw-raven', '1.2.0')
('pip:plone-app-dexterity', '2.0.19')
('pip:ftw-mail', '2.8.0')
('pip:zconfig', '2.9.3')
('pip:plone-portlet-collection', '2.1.10')
('actions:actions/checkout', '3')
('pip:plone-outputfilters', '1.15.3')
('pip:plone-resourceeditor', '1.0.1')
('pip:zc-monitor', '0.3.1')
('pip:path-py', '11.0.1')
('pip:products-cmfcore', '2.2.10')
('pip:plone-app-theming', '1.1.8')
('pip:certifi', '2020.04.05.1')
('pip:collective-mtrsetup', '1.5.4')
('pip:ftw-monitor', '1.2.0')
('pip:itsdangerous', '1.1.0')
('pip:fluent-logger', '0.9.6')
('pip:mr-bob', '0.1.2')
('pip:products-extendedpathindex', '3.2.0')
('pip:products-passwordresettool', '2.0.19')
('pip:zope-contenttype', '3.5.5')
('pip:ftw-contentstats', '1.4.0')
('pip:openpyxl', '2.5.2')
('pip:requests-toolbelt', '0.8.0')
('pip:roman', '1.4.0')
('pip:ordereddict', '1.1')
('pip:python-editor', '1.0.3')
('pip:chardet', '3.0.4')
('actions:docker/login-action', '2')
('pip:plone-uuid', '1.0.6')
('pip:zope-testbrowser', '3.11.1')
('pip:premailer', '3.2.0')
('pip:plone-app-workflow', '2.1.9')
('pip:plone-transformchain', '1.2.2')
('pip:sqlalchemy-i18n', '1.0.3')
('pip:cssselect', '1.0.3')
('pip:odict', '1.6.2')
('pip:ftw-journal', '1.4.0')
('pip:ftw-casauth', '1.6.1')
