('npm:path-parse', '1.0.7')
('npm:@webassemblyjs/helper-buffer', '1.11.6')
('npm:jsprim', '1.4.2')
('npm:mime-types', '2.1.35')
('npm:fast-json-stable-stringify', '2.1.0')
('composer:symfony/yaml', '6.4.8')
('npm:@babel/helper-create-class-features-plugin', '7.24.7')
('npm:dedent', '1.5.3')
('npm:@humanwhocodes/module-importer', '1.0.1')
('npm:collect-v8-coverage', '1.0.2')
('composer:symfony/dependency-injection', '6.4.8')
('npm:@jest/expect', '29.7.0')
('npm:log-driver', '1.2.7')
('npm:y18n', '5.0.8')
('npm:once', '1.4.0')
('npm:@jridgewell/trace-mapping', '0.3.25')
('npm:@esbuild/linux-riscv64', '0.21.4')
('npm:@babel/plugin-transform-object-rest-spread', '7.24.7')
('npm:natural-compare', '1.4.0')
('composer:psr/http-message', '2.0')
('npm:sprintf-js', '1.0.3')
('composer:myclabs/deep-copy', '1.12.0')
('npm:universalify', '0.2.0')
('composer:league/uri-parser', '1.4.1')
('npm:eslint', '9.6.0')
('composer:sebastian/object-reflector', '3.0.0')
('composer:monolog/monolog', '2.9.3')
('composer:league/uri', '6.8.0')
('npm:w3c-xmlserializer', '4.0.0')
('npm:chalk', '2.4.2')
('npm:jest-resolve', '29.7.0')
('npm:whatwg-encoding', '2.0.0')
('npm:@babel/plugin-syntax-optional-catch-binding', '7.8.3')
('npm:jest-runner', '29.7.0')
('npm:tough-cookie', '2.5.0')
('composer:psr/simple-cache', '1.0.1')
('composer:mezzio/mezzio-tooling', '2.9.0')
('composer:ramsey/collection', '2.0.0')
('composer:symfony/http-client-contracts', '3.5.0')
('composer:symfony/string', '7.1.2')
('npm:concat-map', '0.0.1')
('npm:ajv', '6.12.6')
('npm:eslint-plugin-prettier', '4.2.1')
('npm:walker', '1.0.8')
('npm:@tootallnate/once', '2.0.0')
('go:github.com/davecgh/go-spew', '1.1.1')
('npm:@babel/plugin-transform-private-methods', '7.24.7')
('composer:symfony/event-dispatcher', '6.4.8')
('npm:@humanwhocodes/retry', '0.3.0')
('npm:type-detect', '4.0.8')
('go:github.com/aws/aws-sdk-go-v2/service/ssooidc', '1.24.3')
('npm:@babel/plugin-transform-block-scoped-functions', '7.24.7')
('composer:web-token/jwt-encryption-algorithm-aeskw', '3.4.3')
('actions:golangci/golangci-lint-action', '6.*.*')
('npm:@jest/globals', '29.7.0')
('npm:ci-info', '3.9.0')
('npm:sass-loader', '14.2.1')
('npm:@babel/plugin-transform-reserved-words', '7.24.7')
('actions:thenabeel/action-phpcs', '8')
('composer:spomky-labs/otphp', '11.3.0')
('npm:node-releases', '2.0.13')
('npm:unicode-property-aliases-ecmascript', '2.1.0')
('npm:is-generator-fn', '2.1.0')
('composer:mezzio/mezzio-session', '1.14.1')
('actions:actions/checkout', '4')
('npm:xmlchars', '2.2.0')
('composer:laminas/laminas-code', '4.13.0')
('go:github.com/aws/aws-sdk-go-v2/service/ssm', '1.50.4')
('npm:esbuild', '0.21.5')
('npm:babel-plugin-polyfill-corejs3', '0.10.4')
