('composer:psr/container', '1.1.2')
('composer:symfony/browser-kit', '5.4.3')
('composer:kartik-v/yii2-export', '1.4.2')
('composer:phar-io/version', '3.2.1')
('composer:kartik-v/yii2-widget-alert', '1.1.5')
('composer:kartik-v/yii2-sortable', '1.2.2')
('composer:symfony/service-contracts', '2.5.1')
('composer:kartik-v/yii2-grid', '3.5.0')
('composer:rmrevin/yii2-fontawesome', '3.7.0')
('composer:kartik-v/yii2-widgets', '3.4.1')
('composer:setasign/fpdi', '2.3.6')
('composer:yiisoft/yii2-faker', '2.0.5')
('composer:bower-asset/yii2-pjax', '2.0.7.1')
('composer:kartik-v/yii2-widget-spinner', '1.0.1')
('composer:symfony/string', '5.4.9')
('composer:guzzlehttp/guzzle', '7.4.4')
('composer:psr/http-message', '1.0.1')
('composer:codeception/module-asserts', '2.0.1')
('composer:phpunit/phpunit', '9.5.20')
('composer:yiisoft/yii2-bootstrap', '2.0.11')
('composer:bower-asset/bootstrap', '3.4.1')
('composer:captbaritone/mailcatcher-codeception-module', '2.4.1')
('composer:psr/http-client', '1.0.1')
