,Repo_id,URL,VAG,AWS,AZ,PUP,TF/OT,SS,PUL,BIC,DOCK,CHEF,GOOG,KUB,ANS,Validated files,IaC_tools
40,lsst_qserv,https://github.com/lsst/qserv,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
41,adorsys_xs2a,https://github.com/adorsys/xs2a,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
42,hmcts_ccpay-payment-app,https://github.com/hmcts/ccpay-payment-app,0,0,1,0,1,0,0,0,1,0,0,0,0,{'TF': '/Users/mrobredo23/hmcts_ccpay-payment-app/infrastructure/template/api.json;/Users/mrobredo23/hmcts_ccpay-payment-app/infrastructure/provider.tf'},"AZ, TF/OT, DOCK"
43,planetarium_NineChronicles,https://github.com/planetarium/NineChronicles,0,0,0,0,0,0,0,0,0,0,0,0,1,,ANS
44,hotosm_tasking-manager,https://github.com/hotosm/tasking-manager,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
45,mayan-edms_Mayan-EDMS,https://github.com/mayan-edms/Mayan-EDMS,1,0,0,0,0,0,0,0,1,0,0,0,1,{'VAG': '/Users/mrobredo23/mayan-edms_Mayan-EDMS/vagrant/Vagrantfile'},"VAG, DOCK, ANS"
46,letsencrypt_boulder,https://github.com/letsencrypt/boulder,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
47,jeff1evesque_machine-learning,https://github.com/jeff1evesque/machine-learning,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
48,byran_web,https://github.com/byran/web,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
49,avalonmediasystem_avalon,https://github.com/avalonmediasystem/avalon,0,0,0,0,0,0,0,0,1,0,0,0,0,,DOCK
50,raster-foundry_raster-foundry,https://github.com/raster-foundry/raster-foundry,1,0,0,0,0,0,0,0,1,0,0,0,0,{'VAG': '/Users/mrobredo23/raster-foundry_raster-foundry/Vagrantfile'},"VAG, DOCK"
51,collinbarrett_FilterLists,https://github.com/collinbarrett/FilterLists,0,0,0,0,0,0,0,0,0,0,0,0,1,,ANS
52,OpenDSA_OpenDSA,https://github.com/OpenDSA/OpenDSA,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
53,alephdata_aleph,https://github.com/alephdata/aleph,0,0,0,0,0,0,0,0,1,0,0,1,0,,"DOCK, KUB"
54,owncloud_phoenix,https://github.com/owncloud/phoenix,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
