Repo_id,URL,VAG,AWS,AZ,PUP,TF/OT,SS,PUL,BIC,DOCK,CHEF,GOOG,KUB
jeff1evesque_machine-learning,https://github.com/jeff1evesque/machine-learning,0,0,0,1,0,0,0,0,1,0,0,0,C:\Users\camyi\jeff1evesque_machine-learning\puppet\environment\docker\modules\mariadb\manifests\bindings.pp
byran_web,https://github.com/byran/web,0,0,0,0,0,0,0,0,1,0,0,0,
avalonmediasystem_avalon,https://github.com/avalonmediasystem/avalon,0,0,0,0,0,0,0,0,1,0,0,0,
raster-foundry_raster-foundry,https://github.com/raster-foundry/raster-foundry,1,0,0,0,0,0,0,0,1,0,0,0,C:\Users\camyi\raster-foundry_raster-foundry\Vagrantfile
collinbarrett_FilterLists,https://github.com/collinbarrett/FilterLists,0,0,0,0,0,0,0,0,0,0,0,0,
OpenDSA_OpenDSA,https://github.com/OpenDSA/OpenDSA,0,0,0,0,0,0,0,0,1,0,0,0,
alephdata_aleph,https://github.com/alephdata/aleph,0,0,0,0,0,0,0,0,1,0,0,1,
owncloud_phoenix,https://github.com/owncloud/phoenix,0,0,0,0,0,0,0,0,1,0,0,0,
czcorpus_kontext,https://github.com/czcorpus/kontext,0,0,0,0,0,0,0,0,1,0,0,0,
stoqs_stoqs,https://github.com/stoqs/stoqs,1,0,0,0,0,0,0,0,1,0,0,0,C:\Users\camyi\stoqs_stoqs\Vagrantfile
amazeeio_lagoon,https://github.com/amazeeio/lagoon,0,0,0,0,0,0,0,0,1,0,0,0,
